string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,1427
"### | حرف الألف
",000,False,000,False,False,False,1,8
"### | من اسمه إبراهيم
",000,False,000,False,False,False,1,8
"### | إبراهيم بن سعد بن جماعة بن علي بن جماعة بن حازم بن صخر
",000,False,000,False,False,False,1,516
"### | 2 - 
",000,False,000,False,False,False,1,346
"### | 3 - 
",000,False,000,False,False,False,1,441
"### | 4 - 
",000,False,000,False,False,False,1,521
"### | إبراهيم بن خليل بن عبد الله الأدمي الدمشقي أبو إسحاق بن أبي الصفا
",000,False,000,False,False,False,1,122
"### | 5 - 
",000,False,000,False,False,False,1,520
"### | 6 - 
",000,False,000,False,False,False,1,475
"### | إبراهيم بن علي بن أحمد بن فضل الواسطي ثم الدمشقي الحنبلي الزاهد العابد أبو إسحاق بن أبي الحسن
",000,False,000,False,False,False,1,690
"### | 7 - 
",000,False,000,False,False,False,1,349
"### | إبراهيم بن عمر بن مضر بن محمد بن فارس بن إبراهيم بن أحمد المقرئ البرزي، الواسطي أبو إسحاق بن البرهان التاجر
",000,False,000,False,False,False,1,185
"### | 8 - 
",000,False,000,False,False,False,1,773
"### | إبراهيم بن هبة الله بن المسلم بن هبة الله بن حسان بن محمد بن منصور بن أحمد البارزي الجهني الحموي أبو الطاهر بن أبي القاسم بن أبي المعالي
",000,False,000,False,False,False,1,242
"### | 9 - 
",000,False,000,False,False,False,1,261
"### | من اسمه أحمد
",000,False,000,False,False,False,1,7
"### | أحمد بن شيبان بن تغلب بن حيدرة بن شيبان بن سيف بن طراد بن عقيل بن وثاب بن شيبان الشيباني الصالحي المؤدب الخياط الأديب أبو العباس بن أبي محمد
",000,False,000,False,False,False,1,387
"### | 10 - 
",000,False,000,False,False,False,1,289
"### | أحمد بن عبد الله بن محمد بن علي بن النحاس الأنصاري المالكي أبو البركات بن أبي محمد
",000,False,000,False,False,False,1,78
"### | 11 - 
",000,False,000,False,False,False,1,254
"### | أحمد بن عبد الدائم بن نعمة بن أحمد بن محمد بن إبراهيم بن أحمد بن بكير المقدسي الحنبلي أبو العباس
",000,False,000,False,False,False,1,479
"### | 12 - 
",000,False,000,False,False,False,1,274
"### | أحمد بن علي بن يوسف بن عبد الله بن بندار الدمشقي الأصل المصري أبو العباس بن ms032 أبي الحسن بن أبي المحاسن
",000,False,000,False,False,False,1,168
"### | 13 - 
",000,False,000,False,False,False,1,232
"### | 14 - 
",000,False,000,False,False,False,1,327
"### | 15 - 
",000,False,000,False,False,False,1,337
"### | 16 - 
",000,False,000,False,False,False,1,163
"### | أحمد بن المفرج بن علي بن المفرج بن عمرو بن الخضر بن محمد بن الحسن بن مسلمة الأموي الدمشقي أبو العباس بن أبي الفتح
",000,False,000,False,False,False,1,261
"### | 17 - 
",000,False,000,False,False,False,1,201
"### | 18 - 
",000,False,000,False,False,False,1,193
"### | أحمد بن نعمة بن أحمد بن جعفر بن حسين بن حماد النابلسي المقدسي أبو العباس بن أبي الشكر
",000,False,000,False,False,False,1,102
"### | 19 - 
",000,False,000,False,False,False,1,196
"### | 20 - 
",000,False,000,False,False,False,1,165
"### | 21 - 
",000,False,000,False,False,False,1,103
"### | 22 - 
",000,False,000,False,False,False,1,57
"### | 23 - 
",000,False,000,False,False,False,1,116
"### | 24 - 
",000,False,000,False,False,False,1,113
"### | 25 - 
",000,False,000,False,False,False,1,103
"### | 26 - 
",000,False,000,False,False,False,1,788
"### | أحمد بن يوسف بن عبد الله بن زيري التلمساني الدار الحميري النجار أبو العباس
",000,False,000,False,False,False,1,91
"### | 27 - 
",000,False,000,False,False,False,1,316
"### | 28 - 
",000,False,000,False,False,False,1,202
"### | 29 - 
",000,False,000,False,False,False,1,368
"### | من اسمه إدريس
",000,False,000,False,False,False,1,7
"### | إدريس بن محمد بن أبي الفرج عبد الرحمن بن إدريس بن الحسين بن إدريس بن الحسين بن مزيز، واسمه إبراهيم، الحموي التنوخي أبو محمد
",000,False,000,False,False,False,1,157
"### | 30 - 
",000,False,000,False,False,False,1,176
"### | من اسمه إسحاق
",000,False,000,False,False,False,1,7
