string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الجزء الاول
",000,False,000,False,False,False,1,10
"### | مقدمة المحقق
",000,False,000,False,False,False,1,1387
"### | الفن الأول من علوم الكتاب فى ذكر المقدمات
",000,False,000,False,False,False,1,12
"### | المقدمة الأولى فى تفسير علم البيان وبيان ماهيته
",000,False,000,False,False,False,1,150
"### | المطلب الأول فى بيان ماهيته
",000,False,000,False,False,False,1,157
"### | التصرف الأول
",000,False,000,False,False,False,1,143
"### | التصرف الثانى
",000,False,000,False,False,False,1,82
"### | التعريف الأول:
",000,False,000,False,False,False,1,154
"### | التعريف الثانى
",000,False,000,False,False,False,1,76
"### | التعريف الثالث
",000,False,000,False,False,False,1,71
"### | خيال وتنبيه
",000,False,000,False,False,False,1,119
"### | المطلب الثانى فى بيان موضوع علم البيان
",000,False,000,False,False,False,1,267
"### | وهم وتنبيه
",000,False,000,False,False,False,1,416
"### | المطلب الثالث في بيان منزلته من العلوم وموقعه منها
",000,False,000,False,False,False,1,454
"### | المطلب الرابع فى بيان الطرق إليه
",000,False,000,False,False,False,1,65
"### | المرتبة الأولى: لا يفتقر إليها بكل حال.
",000,False,000,False,False,False,1,37
"### | المرتبة الثانية: ما يكون مفتقرا إليها،
",000,False,000,False,False,False,1,32
"### | النوع الأول منها: معرفة اللغة
",000,False,000,False,False,False,1,234
"### | النوع الثانى: علم العربية
",000,False,000,False,False,False,1,87
"### | النوع الثالث: علم التصريف
",000,False,000,False,False,False,1,132
"### | خيال وتنبيه
",000,False,000,False,False,False,1,529
"### | المرتبة الثالثة: مما يكون متوسطا بين المرتبتين السابقتين
",000,False,000,False,False,False,1,63
"### | والشعراء طبقات ثلاث.
",000,False,000,False,False,False,1,6
"### | الطبقة الأولى: المتقدمون من الشعراء فى الجاهلية
",000,False,000,False,False,False,1,35
"### | الطبقة الثانية: المتوسطون
",000,False,000,False,False,False,1,38
"### | الطبقة الثالثة: المتأخرون
",000,False,000,False,False,False,1,55
"### | دقيقة
",000,False,000,False,False,False,1,102
"### | المطلب الخامس فى بيان ثمرته
",000,False,000,False,False,False,1,13
"### | المقصد الأول منها: مقصد دينى
",000,False,000,False,False,False,1,67
"### | الفضيلة الأولى
",000,False,000,False,False,False,1,86
"### | الفضيلة الثانية
",000,False,000,False,False,False,1,62
"### | المقصد الثانى: مقصد عام
",000,False,000,False,False,False,1,94
"### | المقدمة الثانية فى تقسيم الألفاظ بالإضافة إلى ما تدل عليه من المعانى
",000,False,000,False,False,False,1,48
"### | التقسيم الأولى
",000,False,000,False,False,False,1,37
