string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,406
"### | فصل
",000,False,000,False,False,False,1,76
"### | أحاديث أنس
",000,False,000,False,False,False,1,4
"### | 1- 
",000,False,000,False,False,False,1,35
"### | [ص: 23]
",000,False,000,False,False,False,1,90
"### | 2- 
",000,False,000,False,False,False,1,80
"### | 3- 
",000,False,000,False,False,False,1,60
"### | [ص: 24]
",000,False,000,False,False,False,1,266
"### | [ص: 25]
",000,False,000,False,False,False,1,20
"### | 4- 
",000,False,000,False,False,False,1,200
"### | [ص: 26]
",000,False,000,False,False,False,1,52
"### | 5- 
",000,False,000,False,False,False,1,42
"### | 6- 
",000,False,000,False,False,False,1,15
"### | [ص: 27]
",000,False,000,False,False,False,1,20
"### | 7- 
",000,False,000,False,False,False,1,25
"### | 8- 
",000,False,000,False,False,False,1,78
"### | 9- 
",000,False,000,False,False,False,1,144
"### | [ص: 29]
",000,False,000,False,False,False,1,17
"### | حديث أبي بكر رضي الله عنه
",000,False,000,False,False,False,1,12
"### | 10- 
",000,False,000,False,False,False,1,213
"### | [ص: 30]
",000,False,000,False,False,False,1,168
"### | حديث عمران بن حصين
",000,False,000,False,False,False,1,8
"### | 11- 
",000,False,000,False,False,False,1,39
"### | 12- 
",000,False,000,False,False,False,1,130
"### | [ص: 32]
",000,False,000,False,False,False,1,8
"### | حديث أبي موسى الأشعري
",000,False,000,False,False,False,1,8
"### | 13- 
",000,False,000,False,False,False,1,60
"### | 14- 
",000,False,000,False,False,False,1,32
"### | [ص: 33]
",000,False,000,False,False,False,1,14
"### | 15- 
",000,False,000,False,False,False,1,25
"### | حديث أبي بكر ms08 الثقفي
",000,False,000,False,False,False,1,8
"### | 16- 
",000,False,000,False,False,False,1,58
"### | حديث أم حبيبة
",000,False,000,False,False,False,1,6
"### | 17- 
",000,False,000,False,False,False,1,49
"### | أحاديث أبي سعد الخدري
",000,False,000,False,False,False,1,8
"### | 18- 
",000,False,000,False,False,False,1,45
"### | 19- 
",000,False,000,False,False,False,1,53
"### | 20- 
",000,False,000,False,False,False,1,48
"### | 21- 
",000,False,000,False,False,False,1,37
"### | 22- 
",000,False,000,False,False,False,1,35
"### | [ص: 36]
",000,False,000,False,False,False,1,6
"### | 23- 
",000,False,000,False,False,False,1,177
"### | [ص: 37]
",000,False,000,False,False,False,1,87
"### | 24- 
",000,False,000,False,False,False,1,90
"### | [ص: 38]
",000,False,000,False,False,False,1,6
"### | أحاديث أبي هريرة
",000,False,000,False,False,False,1,6
"### | 25- 
",000,False,000,False,False,False,1,235
"### | [ص: 39]
",000,False,000,False,False,False,1,234
"### | [ص: 40]
",000,False,000,False,False,False,1,17
"### | 26- 
",000,False,000,False,False,False,1,141
"### | [ص: 41]
",000,False,000,False,False,False,1,165
"### | 27- 
",000,False,000,False,False,False,1,17
"### | [ص: 42]
",000,False,000,False,False,False,1,184
"### | [ص: 43]
",000,False,000,False,False,False,1,98
"### | 28- 
",000,False,000,False,False,False,1,32
"### | 29- 
",000,False,000,False,False,False,1,35
"### | 30- 
",000,False,000,False,False,False,1,70
"### | 31- 
",000,False,000,False,False,False,1,47
"### | 32- 
",000,False,000,False,False,False,1,80
"### | [ص: 45]
",000,False,000,False,False,False,1,14
"### | 33- 
",000,False,000,False,False,False,1,26
"### | 34- 
",000,False,000,False,False,False,1,46
"### | أحاديث أبي أمامة الباهلي
",000,False,000,False,False,False,1,8
"### | 34- 
",000,False,000,False,False,False,1,42
"### | 35- 
",000,False,000,False,False,False,1,43
"### | 36- 
",000,False,000,False,False,False,1,53
"### | 37- 
",000,False,000,False,False,False,1,45
"### | [ص: 47]
",000,False,000,False,False,False,1,18
"### | 38- 
",000,False,000,False,False,False,1,90
"### | [ص: 48]
",000,False,000,False,False,False,1,13
"### | حديث العباس
",000,False,000,False,False,False,1,4
"### | 39- 
",000,False,000,False,False,False,1,51
"### | أحاديث ابن عباس
",000,False,000,False,False,False,1,6
"### | 40- 
",000,False,000,False,False,False,1,38
"### | 41- 
",000,False,000,False,False,False,1,47
"### | [ص: 49]
",000,False,000,False,False,False,1,223
"### | [ص: 50]
",000,False,000,False,False,False,1,137
"### | 42- 
",000,False,000,False,False,False,1,64
"### | أحاديث ابن عمر
",000,False,000,False,False,False,1,6
"### | 43- 
",000,False,000,False,False,False,1,53
"### | 44- 
",000,False,000,False,False,False,1,40
"### | [ص: 52]
",000,False,000,False,False,False,1,26
"### | 45- 
",000,False,000,False,False,False,1,66
"### | 46- 
",000,False,000,False,False,False,1,28
"### | [ص: 53]
",000,False,000,False,False,False,1,12
"### | أحاديث عبد الله بن عمرو
",000,False,000,False,False,False,1,10
"### | 47- 
",000,False,000,False,False,False,1,96
"### | 48- 
",000,False,000,False,False,False,1,80
"### | حديث عبد الله بن بسر
",000,False,000,False,False,False,1,10
"### | 49- 
",000,False,000,False,False,False,1,54
"### | [ص: 55]
",000,False,000,False,False,False,1,26
"### | حديث لابن مسعود
",000,False,000,False,False,False,1,6
"### | 50- 
",000,False,000,False,False,False,1,38
"### | [ص: 56]
",000,False,000,False,False,False,1,11
"### | حديث لابن أبي الجدعاء
",000,False,000,False,False,False,1,8
"### | 51- 
",000,False,000,False,False,False,1,75
"### | رواية جابر بن عبد الله
",000,False,000,False,False,False,1,10
