string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [الرد على ابن القطان في كتابه بيان الوهم والإيهام]
",000,False,000,False,False,False,1,50
"### | المقدمة
",000,False,000,False,False,False,1,194
"### | : "" لا يقضي القاضي إلا وهو شبعان ريان "".
",000,False,000,False,False,False,1,40
"### | : "" أن مملوكا
",000,False,000,False,False,False,1,108
"### | في قيامه - عليه السلام - في رمضان ليلة بالناس، 
",000,False,000,False,False,False,1,64
"### | : "" إذا دخل أحدكم المسجد فلا يجلس حتى يركع
",000,False,000,False,False,False,1,92
"### | : "" طعام البخيل داء ""، 
",000,False,000,False,False,False,1,69
"### | "" لا يسمع بي أحد من هذه الأمة، لا يهودي، ولا نصراني "".
",000,False,000,False,False,False,1,104
"### | حديث في قضاء صوم التطوع، 
",000,False,000,False,False,False,1,36
"### | : "" إذا كان دم الحيض
",000,False,000,False,False,False,1,175
"### | لتغتسل للظهر والعصر غسلا واحدا
",000,False,000,False,False,False,1,72
"### | ، لما حضرت أبا طالب الوفاة.
",000,False,000,False,False,False,1,39
"### | : "" ليس على النساء حلق ""، 
",000,False,000,False,False,False,1,51
"### | : "" وقت العقيق "" 
",000,False,000,False,False,False,1,84
"### | : "" فمنا من رمى بست
",000,False,000,False,False,False,1,38
"### | : [لم] يأمرني رسول الله - صلى الله عليه وسلم - أن أنزل الأبطح،
",000,False,000,False,False,False,1,100
"### | "": عن عبد الله الصنابحي في فضلية الوضوء.
",000,False,000,False,False,False,1,340
"### | : حديث معاذ في زكاة البقر 
",000,False,000,False,False,False,1,84
"### | حديث: "" ستر وجه المرأة "" 
",000,False,000,False,False,False,1,39
"### | : "" رش على قبر
",000,False,000,False,False,False,1,24
"### | : "" كان لا يأذن لمن لم يبدأ بالسلام "" 
",000,False,000,False,False,False,1,57
"### | : "" من (3 / ب) صلى وحده ثم أدرك
",000,False,000,False,False,False,1,68
"### | : "" لا يحصن
",000,False,000,False,False,False,1,72
"### | : "" من لم يقرأ بأم القرآن ""، 
",000,False,000,False,False,False,1,32
"### | حديث في قضاء صوم التطوع، 
",000,False,000,False,False,False,1,79
"### | : "" لا تحج إلا بإذن زوجها ""، 
",000,False,000,False,False,False,1,63
"### | : في غسل
",000,False,000,False,False,False,1,31
"### | : "" لا وضوء لمن لم يسم "".
",000,False,000,False,False,False,1,38
"### | بشر بن المفضل، عن عبد الرحمن بن حرملة، عن أبي ثفال، 
",000,False,000,False,False,False,1,64
"### | : "" نهي أن يستفاد في المسجد "".
",000,False,000,False,False,False,1,53
"### | حديث ابن جريح، عن محمد بن عمر بن علي، عن عباس بن عبيد الله
",000,False,000,False,False,False,1,48
"### | : "" إذا توضأ عرك عارضيه ""، 
",000,False,000,False,False,False,1,115
"### | - كان يقرأ في الركعتين التي يوتر بعدهما بسبح، وقل يا أيها الكافرون، ويقرأ في الوتر: قل هو الله أحد، والمعوذتين.
",000,False,000,False,False,False,1,76
"### | : إذا توفي أحدكم فوجد
",000,False,000,False,False,False,1,33
"### | : "" صوما يوما مكانه "".
",000,False,000,False,False,False,1,165
"### | : "" ماء زمزم لما شرب له "".
",000,False,000,False,False,False,1,96
"### | : "" أسلمت وتحتي أختان "" 
",000,False,000,False,False,False,1,62
"### | أسلم وله عشر نسوة، 
",000,False,000,False,False,False,1,153
"### | غيلان
",000,False,000,False,False,False,1,47
"### | : "" لا تطلق النساء إلا من ريبة، إن الله لا يحب الذواقين
",000,False,000,False,False,False,1,132
"### | النهي عن الكلب إلا كلب الصيد؛ 
",000,False,000,False,False,False,1,83
"### | : "" إذا اختلف البيعان، وليس بينة، فهو ما يقول رب السلعة، أو
",000,False,000,False,False,False,1,159
"### | -: "" لا يتم بعد احتلام، ولا صمات ms11 يوم إلى الليل "".
",000,False,000,False,False,False,1,66
"### | : "" الخال وارث من لا وارث له "".
",000,False,000,False,False,False,1,48
"### | مولى النبي - صلى الله عليه وسلم - وقع من نخلة فمات، فقال: انظروا هل له من وارث؟
",000,False,000,False,False,False,1,250
"### | : "" علي كل بيت في العام أضحية وعتيرة "".
",000,False,000,False,False,False,1,36
"### | : "" نهى عن لبس الذهب إلا مقطعا "".
",000,False,000,False,False,False,1,113
"### | : "" أهل الجنة عشرون ومائة صف "".
",000,False,000,False,False,False,1,58
"### | : "" أول ما خلق الله القلم، فقال له: "" أجر ""، فجرى بما هو
",000,False,000,False,False,False,1,131
"### | حديث أبي رزين: يا رسول الله، أين كان ربنا؟ قال: "" كان في عماء
",000,False,000,False,False,False,1,65
"### | : "" أخبرنا عن ثياب الجنة، أتنسج؟ "".
",000,False,000,False,False,False,1,50
"### | : "" وأدخل أصابعه في صماخ أذنيه "".
",000,False,000,False,False,False,1,31
"### | : إن أدركتها: أصلي معهم؟ قال: "" إن شئت "".
",000,False,000,False,False,False,1,147
"### | : "" رخص في دم الحبون "".
",000,False,000,False,False,False,1,83
"### | : "" من قال: يثرب، فليقل: المدينة عشرا "".
",000,False,000,False,False,False,1,110
"### | : "" الرجل أحق بصدر دابته "".
",000,False,000,False,False,False,1,17
"### | حديث عائشة في رضاع سالم من سهلة خمس رضعات.
",000,False,000,False,False,False,1,25
"### | : "" الربا وإن كثر فإنه يصير إلى قل "".
",000,False,000,False,False,False,1,43
"### | بيع المحفلات خلابة
",000,False,000,False,False,False,1,105
"### | : كان عندي
",000,False,000,False,False,False,1,201
"### | -: "" تدنو الشمس يوم ms16 القيامة قدر
",000,False,000,False,False,False,1,76
"### | : "" إذا قرأتم
",000,False,000,False,False,False,1,151
"### | : "" كان إذا توضأ أخذ كفا فأدخله تحت حنكه "".
",000,False,000,False,False,False,1,115
"### | : "" اغسلوا قتلاكم "" 
",000,False,000,False,False,False,1,25
"### | حديث أم سلمة في زكاة الحلي 
",000,False,000,False,False,False,1,48
"### | : "" من كان عليه صوم رمضان فليسرده ولا يقطعه "".
",000,False,000,False,False,False,1,58
"### | : "" غزونا خيبر فأصبنا غنما فقسم بعضها "".
",000,False,000,False,False,False,1,96
"### | : "" أن النهبة ليست بأحل من الميتة "".
",000,False,000,False,False,False,1,52
"### | امرأة أعطاها ابنها حديقة، 
",000,False,000,False,False,False,1,114
"### | : "" اشتركنا (9 / ب) في البقرة سبعة، وفي البعير
",000,False,000,False,False,False,1,38
