string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [إثارة الفوائد المجموعة في الإشارة إلى الفرائد المسموعة]
",000,False,000,False,False,False,1,97
"### | 1 - 
",000,False,000,False,False,False,1,193
"### | 2 - 
",000,False,000,False,False,False,1,166
"### | 3 - 
",000,False,000,False,False,False,1,144
"### | 4 - 
",000,False,000,False,False,False,1,190
"### | 5 - 
",000,False,000,False,False,False,1,475
"### | 6 - 
",000,False,000,False,False,False,1,148
"### | 7 - 
",000,False,000,False,False,False,1,196
"### | 8 - 
",000,False,000,False,False,False,1,171
"### | 9 - 
",000,False,000,False,False,False,1,146
"### | 10 - 
",000,False,000,False,False,False,1,499
"### | 11 - 
",000,False,000,False,False,False,1,206
"### | 12 - 
",000,False,000,False,False,False,1,113
"### | 13 - 
",000,False,000,False,False,False,1,143
"### | 14 - 
",000,False,000,False,False,False,1,123
"### | 15 - 
",000,False,000,False,False,False,1,400
"### | 16 - 
",000,False,000,False,False,False,1,565
"### | فصل
",000,False,000,False,False,False,1,824
"### | كتاب الموطإ
",000,False,000,False,False,False,1,892
"### | 17 - 
",000,False,000,False,False,False,1,139
"### | عوالي مالك للإمام أبي الشيخ سليم بن أيوب الرازي
",000,False,000,False,False,False,1,60
"### | عوالي مالك للحافظ أبي بكر أحمد بن علي الخطيب
",000,False,000,False,False,False,1,127
"### | زيادات عوالي مالك لأبي القاسم زاهر بن طاهر الشحامي
",000,False,000,False,False,False,1,118
"### | الأول من غرائب مالك مما يروى عنه في الموطإ واختلف عليه فيه تخريج أبي محمد دعلج بن أحمد السجستاني
",000,False,000,False,False,False,1,45
"### | 18 - 
",000,False,000,False,False,False,1,77
"### | 19 - 
",000,False,000,False,False,False,1,85
"### | 20 - 
",000,False,000,False,False,False,1,93
"### | 21 - 
",000,False,000,False,False,False,1,31
"### | 22 - 
",000,False,000,False,False,False,1,51
"### | 23 - 
",000,False,000,False,False,False,1,102
"### | 24 - 
",000,False,000,False,False,False,1,161
"### | 25 - 
",000,False,000,False,False,False,1,99
"### | كتاب المسند من حديث الإمام أبي عبد الله محمد بن إدريس الشافعي رحمة الله عليه
",000,False,000,False,False,False,1,139
"### | كتاب السنن للإمام أبي عبد الله الشافعي رواية الإمام أبي إبراهيم إسماعيل بن يحيى المزني وهو أربعة أجزاء
",000,False,000,False,False,False,1,204
"### | كتاب السنن عن الإمام الشافعي أيضا رواية محمد بن عبد الله بن عبد الحكم المصري عنه
",000,False,000,False,False,False,1,123
"### | كتاب الرسالة التي صنعها الإمام أبو عبد الله الشافعي وبعث بها إلى عبد الرحمن بن مهدي رحمهما الله
",000,False,000,False,False,False,1,176
"### | 26 - 
",000,False,000,False,False,False,1,83
"### | 27 - 
",000,False,000,False,False,False,1,71
"### | 28 - 
",000,False,000,False,False,False,1,141
"### | 29 - 
",000,False,000,False,False,False,1,312
"### | 30 - 
",000,False,000,False,False,False,1,150
"### | كتاب المسند الكبير على مسانيد الصحابة رضي الله عنهم للإمام أبي عبد الله
",000,False,000,False,False,False,1,23
"### | ........... 
",000,False,000,False,False,False,1,142
