string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,1358
"### | 1- 
",000,False,000,False,False,False,1,29
"### | 2- 
",000,False,000,False,False,False,1,19
"### | 3- 
",000,False,000,False,False,False,1,17
"### | 4- 
",000,False,000,False,False,False,1,9
"### | 5- 
",000,False,000,False,False,False,1,13
"### | 6- 
",000,False,000,False,False,False,1,21
"### | 1- 
",000,False,000,False,False,False,1,18
"### | 2- 
",000,False,000,False,False,False,1,32
"### | 3- 
",000,False,000,False,False,False,1,18
"### | 4- 
",000,False,000,False,False,False,1,25
"### | 5- 
",000,False,000,False,False,False,1,19
"### | 6- 
",000,False,000,False,False,False,1,26
"### | 7- 
",000,False,000,False,False,False,1,35
"### | 8- 
",000,False,000,False,False,False,1,29
"### | 9- 
",000,False,000,False,False,False,1,24
"### | 10- 
",000,False,000,False,False,False,1,23
"### | 11- 
",000,False,000,False,False,False,1,24
"### | 12- 
",000,False,000,False,False,False,1,25
"### | 13- 
",000,False,000,False,False,False,1,32
"### | 14- 
",000,False,000,False,False,False,1,15
"### | 15- 
",000,False,000,False,False,False,1,19
"### | 16- 
",000,False,000,False,False,False,1,24
"### | 17- 
",000,False,000,False,False,False,1,27
"### | 18- 
",000,False,000,False,False,False,1,25
"### | 19- 
",000,False,000,False,False,False,1,26
"### | 20- 
",000,False,000,False,False,False,1,35
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,3
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,11
"### | 7- 
",000,False,000,False,False,False,1,9
"### | 8- 
",000,False,000,False,False,False,1,5
"### | 9- 
",000,False,000,False,False,False,1,5
"### | 10- 
",000,False,000,False,False,False,1,3
"### | 11- 
",000,False,000,False,False,False,1,7
"### | 12- 
",000,False,000,False,False,False,1,15
"### | 13- 
",000,False,000,False,False,False,1,13
"### | 14- 
",000,False,000,False,False,False,1,1041
"### | المسألة الأولى: في تعريف الصحابي
",000,False,000,False,False,False,1,344
"### | 1 - 
",000,False,000,False,False,False,1,1261
"### | 2- 
",000,False,000,False,False,False,1,319
"### | 3- 
",000,False,000,False,False,False,1,545
"### | 4- 
",000,False,000,False,False,False,1,28
"### | 5- 
",000,False,000,False,False,False,1,612
"### | 6- 
",000,False,000,False,False,False,1,506
"### | المسألة الثانية: في طرق إثبات الصحبة
",000,False,000,False,False,False,1,1686
"### | 1- 
",000,False,000,False,False,False,1,230
"### | المسألة الثالثة: ((في تقرير عدالة الصحابة 
",000,False,000,False,False,False,1,1122
"### | 7- 
",000,False,000,False,False,False,1,30
"### | 8- 
",000,False,000,False,False,False,1,76
"### | 9- 
",000,False,000,False,False,False,1,52
"### | 10- 
",000,False,000,False,False,False,1,57
"### | 11- 
",000,False,000,False,False,False,1,78
"### | 12- 
",000,False,000,False,False,False,1,70
"### | 13- 
",000,False,000,False,False,False,1,68
"### | 14- 
",000,False,000,False,False,False,1,92
"### | 15- 
",000,False,000,False,False,False,1,22
"### | 16- 
",000,False,000,False,False,False,1,46
"### | 17- 
",000,False,000,False,False,False,1,32
"### | 18- 
",000,False,000,False,False,False,1,98
"### | 19- 
",000,False,000,False,False,False,1,51
"### | 20- 
",000,False,000,False,False,False,1,61
"### | 21- 
",000,False,000,False,False,False,1,54
"### | 22- 
",000,False,000,False,False,False,1,58
"### | 23- 
",000,False,000,False,False,False,1,29
"### | 24- 
",000,False,000,False,False,False,1,69
"### | 25 - 
",000,False,000,False,False,False,1,203
"### | 26- 
",000,False,000,False,False,False,1,26
"### | 27- 
",000,False,000,False,False,False,1,640
"### | 28- 
",000,False,000,False,False,False,1,94
"### | 29- 
",000,False,000,False,False,False,1,77
"### | 30- 
",000,False,000,False,False,False,1,30
"### | 31- 
",000,False,000,False,False,False,1,382
"### | 32- 
",000,False,000,False,False,False,1,44
"### | 33- 
",000,False,000,False,False,False,1,298
"### | 34- 
",000,False,000,False,False,False,1,40
"### | 35- 
",000,False,000,False,False,False,1,33
"### | 36- 
",000,False,000,False,False,False,1,728
"### | 37- 
",000,False,000,False,False,False,1,20
"### | 38- 
",000,False,000,False,False,False,1,58
"### | 39- 
",000,False,000,False,False,False,1,23
"### | 40- 
",000,False,000,False,False,False,1,183
"### | 40- 
",000,False,000,False,False,False,1,47
"### | 41- 
",000,False,000,False,False,False,1,28
"### | 42- 
",000,False,000,False,False,False,1,86
"### | 43- 
",000,False,000,False,False,False,1,288
"### | 44- 
",000,False,000,False,False,False,1,129
"### | 45- 
",000,False,000,False,False,False,1,69
"### | 46- 
",000,False,000,False,False,False,1,144
"### | 47- 
",000,False,000,False,False,False,1,83
"### | 48- 
",000,False,000,False,False,False,1,10
"### | 49- 
",000,False,000,False,False,False,1,158
"### | 50- 
",000,False,000,False,False,False,1,60
"### | 51- 
",000,False,000,False,False,False,1,143
"### | 52- 
",000,False,000,False,False,False,1,43
"### | 53- 
",000,False,000,False,False,False,1,127
"### | 54- 
",000,False,000,False,False,False,1,49
"### | 55- 
",000,False,000,False,False,False,1,131
"### | 56- 
",000,False,000,False,False,False,1,99
"### | 57- 
",000,False,000,False,False,False,1,33
"### | 58- 
",000,False,000,False,False,False,1,68
"### | 59- 
",000,False,000,False,False,False,1,76
"### | 60- 
",000,False,000,False,False,False,1,196
"### | 61- 
",000,False,000,False,False,False,1,164
"### | 62- 
",000,False,000,False,False,False,1,48
"### | 63- 
",000,False,000,False,False,False,1,265
"### | مصادر ومراجع
",000,False,000,False,False,False,1,6
"### | 1- 
",000,False,000,False,False,False,1,19
"### | 2- 
",000,False,000,False,False,False,1,30
"### | 3- 
",000,False,000,False,False,False,1,21
"### | 4- 
",000,False,000,False,False,False,1,25
"### | 5- 
",000,False,000,False,False,False,1,16
"### | 6- 
",000,False,000,False,False,False,1,15
"### | 7- 
",000,False,000,False,False,False,1,22
"### | 8- 
",000,False,000,False,False,False,1,28
"### | 9- 
",000,False,000,False,False,False,1,25
"### | 10- 
",000,False,000,False,False,False,1,21
"### | 11- 
",000,False,000,False,False,False,1,19
"### | 12- 
",000,False,000,False,False,False,1,27
"### | 13- 
",000,False,000,False,False,False,1,29
"### | 14- 
",000,False,000,False,False,False,1,16
"### | 15- 
",000,False,000,False,False,False,1,27
"### | 16- 
",000,False,000,False,False,False,1,22
"### | 17- 
",000,False,000,False,False,False,1,33
"### | 18- 
",000,False,000,False,False,False,1,22
"### | 19- 
",000,False,000,False,False,False,1,24
"### | 20- 
",000,False,000,False,False,False,1,21
"### | 21- 
",000,False,000,False,False,False,1,22
"### | 22- 
",000,False,000,False,False,False,1,24
"### | 23- 
",000,False,000,False,False,False,1,29
"### | 24- 
",000,False,000,False,False,False,1,33
"### | 25- 
",000,False,000,False,False,False,1,13
"### | 26- 
",000,False,000,False,False,False,1,26
"### | 27- 
",000,False,000,False,False,False,1,25
"### | 28- 
",000,False,000,False,False,False,1,21
"### | 29- 
",000,False,000,False,False,False,1,22
"### | 30- 
",000,False,000,False,False,False,1,20
"### | 31- 
",000,False,000,False,False,False,1,27
"### | 32- 
",000,False,000,False,False,False,1,27
"### | 33- 
",000,False,000,False,False,False,1,34
"### | 34- 
",000,False,000,False,False,False,1,19
"### | 35- 
",000,False,000,False,False,False,1,27
"### | 36- 
",000,False,000,False,False,False,1,25
"### | 37- 
",000,False,000,False,False,False,1,25
"### | 38- 
",000,False,000,False,False,False,1,24
"### | 39- 
",000,False,000,False,False,False,1,31
"### | 40- 
",000,False,000,False,False,False,1,24
"### | 41- 
",000,False,000,False,False,False,1,17
"### | 42- 
",000,False,000,False,False,False,1,22
"### | 43- 
",000,False,000,False,False,False,1,19
"### | 44- 
",000,False,000,False,False,False,1,32
"### | 45- 
",000,False,000,False,False,False,1,33
"### | 46- 
",000,False,000,False,False,False,1,15
"### | 47- 
",000,False,000,False,False,False,1,20
"### | 48- 
",000,False,000,False,False,False,1,20
"### | 49- 
",000,False,000,False,False,False,1,30
"### | 50- 
",000,False,000,False,False,False,1,32
"### | 51- 
",000,False,000,False,False,False,1,32
"### | 52- 
",000,False,000,False,False,False,1,23
"### | 53- 
",000,False,000,False,False,False,1,26
"### | 54- 
",000,False,000,False,False,False,1,25
"### | 55- 
",000,False,000,False,False,False,1,14
"### | 56- 
",000,False,000,False,False,False,1,19
"### | 57- 
",000,False,000,False,False,False,1,27
