string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [خطبة الكتاب]
",000,False,000,False,False,False,1,2112
"### | [القسم الأول من الكتاب في مقدمات هذا العلم وفيه أبواب] 
",000,False,000,False,False,False,1,20
"### | [الباب الأول في بيان حقيقة القضاء ومعناه وحكمه وحكمته]
",000,False,000,False,False,False,1,385
"### | [الباب الثاني في فضل القضاء والترغيب في القيام فيه بالعدل]
",000,False,000,False,False,False,1,1239
"### | [فصل في بيان أن طلب القضاء ينقسم إلى خمسة أقسام]
",000,False,000,False,False,False,1,309
"### | [الباب الثالث في ولاية القضاء]
",000,False,000,False,False,False,1,455
"### | [فصل نواب القضاة في عمل من أعمالهم أو مطلقا]
",000,False,000,False,False,False,1,200
"### | [فصل ولاية الحسبة]
",000,False,000,False,False,False,1,87
"### | [فصل الولاية الجزئية المستفادة من القضاء]
",000,False,000,False,False,False,1,64
"### | [فصل ولاية التحكيم بين الخصمين]
",000,False,000,False,False,False,1,38
"### | [فصل ولاية السعاة وجباة الصدقة]
",000,False,000,False,False,False,1,34
"### | [فصل ولاية الخرص]
",000,False,000,False,False,False,1,52
"### | [فصل ولاية الحكمين]
",000,False,000,False,False,False,1,31
"### | [فصل حكم الحكمين في جزاء الصيد]
",000,False,000,False,False,False,1,27
"### | [فصل الولاية على صرف النفقات والفروض المقدرة]
",000,False,000,False,False,False,1,42
"### | [فصل ولاية القاسم الذي يقيمه القاضي والكاتب]
",000,False,000,False,False,False,1,414
"### | [الباب الرابع في الألفاظ التي تنعقد بها الولايات]
",000,False,000,False,False,False,1,81
"### | [فصل القضاء ينعقد بأحد وجهين]
",000,False,000,False,False,False,1,72
"### | [فصل ولى الإمام رجلا للقضاء]
",000,False,000,False,False,False,1,111
"### | [فصل قبول ولاية القضاء من الأمير غير العدل]
",000,False,000,False,False,False,1,90
"### | [فصل القاضي المولى غائبا وقت الولاية]
",000,False,000,False,False,False,1,50
"### | [فصل ولا تتم الولاية إلا بثلاثة شروط]
",000,False,000,False,False,False,1,71
