string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [تذكرة المحتاج إلى أحاديث المنهاج]
",000,False,000,False,False,False,1,75
"### | الأحاديث 
",000,False,000,False,False,False,1,459
"### | .... 
",000,False,000,False,False,False,1,5746
"### | 66 - 
",000,False,000,False,False,False,1,1108
"### | 88 - 
",000,False,000,False,False,False,1,142
"### | 89 - 
",000,False,000,False,False,False,1,23
"### | الآثار 
",000,False,000,False,False,False,1,586
"### | الملاحق
",000,False,000,False,False,False,1,29
"### | الملحق الأول حديث معاذ والاستدلال به على حجية القياس
",000,False,000,False,False,False,1,2555
"### | 1 - 
",000,False,000,False,False,False,1,27
"### | 2 - 
",000,False,000,False,False,False,1,21
"### | 3 - 
",000,False,000,False,False,False,1,19
"### | 4 - 
",000,False,000,False,False,False,1,91
"### | 1 - 
",000,False,000,False,False,False,1,361
"### | 2 - 
",000,False,000,False,False,False,1,630
"### | 3 - 
",000,False,000,False,False,False,1,87
"### | 4 - 
",000,False,000,False,False,False,1,91
"### | 5 - 
",000,False,000,False,False,False,1,293
"### | 6 - 
",000,False,000,False,False,False,1,33
"### | 7 - 
",000,False,000,False,False,False,1,359
"### | 8 - 
",000,False,000,False,False,False,1,88
"### | 1 - 
",000,False,000,False,False,False,1,9
"### | 2 - 
",000,False,000,False,False,False,1,7
"### | 3 - 
",000,False,000,False,False,False,1,7
"### | 4 - 
",000,False,000,False,False,False,1,9
"### | 5 - 
",000,False,000,False,False,False,1,5
"### | 6 - 
",000,False,000,False,False,False,1,7
"### | 7 - 
",000,False,000,False,False,False,1,9
"### | 8 - 
",000,False,000,False,False,False,1,16
"### | 9 - 
",000,False,000,False,False,False,1,11
"### | 10 - 
",000,False,000,False,False,False,1,11
"### | 11 - 
",000,False,000,False,False,False,1,9
"### | 12 - 
",000,False,000,False,False,False,1,42
"### | 13 - 
",000,False,000,False,False,False,1,5
"### | 14 - 
",000,False,000,False,False,False,1,7
"### | 15 - 
",000,False,000,False,False,False,1,205
"### | 1 - 
",000,False,000,False,False,False,1,39
"### | 2 - 
",000,False,000,False,False,False,1,55
"### | 3 - 
",000,False,000,False,False,False,1,501
"### | 1 - 
",000,False,000,False,False,False,1,3
"### | 2 - 
",000,False,000,False,False,False,1,3
"### | 3 - 
",000,False,000,False,False,False,1,3
"### | 4 - 
",000,False,000,False,False,False,1,3
"### | 5 - 
",000,False,000,False,False,False,1,5
"### | 6 - 
",000,False,000,False,False,False,1,5
"### | 7 - 
",000,False,000,False,False,False,1,5
"### | 8 - 
",000,False,000,False,False,False,1,3
"### | 9 - 
",000,False,000,False,False,False,1,3
"### | 10 - 
",000,False,000,False,False,False,1,1012
"### | 1 - 
",000,False,000,False,False,False,1,7
"### | 2 - 
",000,False,000,False,False,False,1,9
"### | 3 - 
",000,False,000,False,False,False,1,7
"### | 5 - 
",000,False,000,False,False,False,1,6
"### | الملحق الثاني حول حديث إنها ليست بنجس إنها من الطوافين أوالطوافات
",000,False,000,False,False,False,1,100
"### | الأول: فيمن صححه وشبهة من أعله.
",000,False,000,False,False,False,1,831
"### | الفصل الثاني في ذكر ألفاظه واختلاف طرقه، فإن الحاجة تشد إلى ذلك
",000,False,000,False,False,False,1,262
"### | الفصل الثالث: في الكلام على شيء من إسناده ومفرداته
",000,False,000,False,False,False,1,667
