string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الجزء الأول
",000,False,000,False,False,False,1,10
"### | المقدمة
",000,False,000,False,False,False,1,2
"### | عصر «1» المؤلف
",000,False,000,False,False,False,1,4
"### | أولا:
",000,False,000,False,False,False,1,51
"### | الحال السياسية:
",000,False,000,False,False,False,1,109
"### | الحروب والأوضاع العسكرية:
",000,False,000,False,False,False,1,177
"### | الحال الاجتماعية:
",000,False,000,False,False,False,1,168
"### | الحال الثقافية:
",000,False,000,False,False,False,1,573
"### | ترجمة المؤلف
",000,False,000,False,False,False,1,2
"### | اسمه ونسبه:
",000,False,000,False,False,False,1,39
"### | نشأته وشيوخه:
",000,False,000,False,False,False,1,134
"### | مؤلفاته:
",000,False,000,False,False,False,1,21
"### | 1- 
",000,False,000,False,False,False,1,21
"### | 2- 
",000,False,000,False,False,False,1,13
"### | 3- 
",000,False,000,False,False,False,1,21
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,3
"### | 6- 
",000,False,000,False,False,False,1,5
"### | 7- 
",000,False,000,False,False,False,1,11
"### | سيرته وطلابه:
",000,False,000,False,False,False,1,104
"### | منهج المؤلف
",000,False,000,False,False,False,1,194
"### | منهج التحقيق
",000,False,000,False,False,False,1,420
"### | باب الهمزة
",000,False,000,False,False,False,1,4
"### | الأسد
",000,False,000,False,False,False,1,6194
"### | الإبل
",000,False,000,False,False,False,1,1979
"### | الأبابيل
",000,False,000,False,False,False,1,182
"### | الأتان:
",000,False,000,False,False,False,1,581
"### | الأخطب:
",000,False,000,False,False,False,1,38
"### | الأخيضر
",000,False,000,False,False,False,1,19
"### | 
",000,False,000,False,False,False,1,0
"### | الأخيل
",000,False,000,False,False,False,1,64
"### | الأربد:
",000,False,000,False,False,False,1,96
"### | الأرخ:
",000,False,000,False,False,False,1,46
"### | الأرضة:
",000,False,000,False,False,False,1,330
"### | الحكم:
",000,False,000,False,False,False,1,43
"### | الأمثال:
",000,False,000,False,False,False,1,11
"### | التعبير:
",000,False,000,False,False,False,1,21
"### | الأرقم:
",000,False,000,False,False,False,1,124
"### | الأرنب:
",000,False,000,False,False,False,1,122
"### | غريبة
",000,False,000,False,False,False,1,119
"### | فائدة:
",000,False,000,False,False,False,1,103
"### | الحكم:
",000,False,000,False,False,False,1,261
"### | الأمثال:
",000,False,000,False,False,False,1,499
"### | الخواص:
",000,False,000,False,False,False,1,337
