string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 / 1 - 
",000,False,000,False,False,False,1,89
"### | 1 / 2 - 
",000,False,000,False,False,False,1,107
"### | 1 / 3 - 
",000,False,000,False,False,False,1,35
"### | 2 / 1 - 
",000,False,000,False,False,False,1,60
"### | 2 / 2 - 
",000,False,000,False,False,False,1,115
"### | 2 / 3 - 
",000,False,000,False,False,False,1,45
"### | 3 / 1 - 
",000,False,000,False,False,False,1,57
"### | 3 / 2 - 
",000,False,000,False,False,False,1,15
"### | 3 / 3 - 
",000,False,000,False,False,False,1,48
"### | 3 / 4 - 
",000,False,000,False,False,False,1,88
"### | 4 / 1 - 
",000,False,000,False,False,False,1,58
"### | 4 / 2 - 
",000,False,000,False,False,False,1,83
"### | 4 / 3 - 
",000,False,000,False,False,False,1,53
"### | 4 / 4 - 
",000,False,000,False,False,False,1,109
"### | 5 - 
",000,False,000,False,False,False,1,126
"### | 6 - 
",000,False,000,False,False,False,1,231
"### | 7 / 1 - 
",000,False,000,False,False,False,1,217
"### | 7 / 2 - 
",000,False,000,False,False,False,1,26
"### | 7 / 3 - 
",000,False,000,False,False,False,1,33
"### | 8 - 
",000,False,000,False,False,False,1,229
"### | 9 - 
",000,False,000,False,False,False,1,72
"### | 10 - 
",000,False,000,False,False,False,1,79
"### | 11 - 
",000,False,000,False,False,False,1,106
"### | 12 / 1 - 
",000,False,000,False,False,False,1,45
"### | 12 / 2 - 
",000,False,000,False,False,False,1,50
"### | 13 - 
",000,False,000,False,False,False,1,127
"### | 14 - 
",000,False,000,False,False,False,1,113
"### | 15 / 1 - 
",000,False,000,False,False,False,1,43
"### | 15 / 2 - 
",000,False,000,False,False,False,1,22
"### | 15 / 3 - 
",000,False,000,False,False,False,1,15
"### | 15 / 4 - 
",000,False,000,False,False,False,1,28
"### | 15 / 5 - 
",000,False,000,False,False,False,1,73
"### | 16 / 1 - 
",000,False,000,False,False,False,1,78
"### | 16 / 2 - 
",000,False,000,False,False,False,1,81
"### | 17 / 1 - 
",000,False,000,False,False,False,1,52
"### | 17 / 2 - 
",000,False,000,False,False,False,1,59
"### | 17 / 3 - 
",000,False,000,False,False,False,1,29
"### | 17 / 4 - 
",000,False,000,False,False,False,1,58
"### | 18 / 1 - 
",000,False,000,False,False,False,1,55
"### | 18 / 2 - 
",000,False,000,False,False,False,1,68
"### | 19 - 
",000,False,000,False,False,False,1,59
"### | 20 - 
",000,False,000,False,False,False,1,176
"### | 21 - 
",000,False,000,False,False,False,1,57
"### | 22 - 
",000,False,000,False,False,False,1,149
"### | ........ 
",000,False,000,False,False,False,1,0
"### | 23 / 1 - 
",000,False,000,False,False,False,1,117
"### | 23 / 2 - 
",000,False,000,False,False,False,1,24
"### | 23 / 3 - 
",000,False,000,False,False,False,1,37
"### | 23 / 4 - 
",000,False,000,False,False,False,1,59
"### | 23 / 5 - 
",000,False,000,False,False,False,1,28
"### | 23 / 6 - 
",000,False,000,False,False,False,1,63
"### | 24 - 
",000,False,000,False,False,False,1,64
"### | 25 / 1 - 
",000,False,000,False,False,False,1,83
"### | 25 / 2 - 
",000,False,000,False,False,False,1,88
"### | 25 / 3 - 
",000,False,000,False,False,False,1,24
"### | 25 / 4 - 
",000,False,000,False,False,False,1,55
"### | 26 - 
",000,False,000,False,False,False,1,119
"### | 27 / 2 - 
",000,False,000,False,False,False,1,60
"### | 27 / 2 - 
",000,False,000,False,False,False,1,66
"### | 27 / 3 - 
",000,False,000,False,False,False,1,57
"### | 28 / 1 - 
",000,False,000,False,False,False,1,75
"### | 28 / 2 - 
",000,False,000,False,False,False,1,28
