string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | من كتاب بدء الوحي
",000,False,000,False,False,False,1,750
"### | ومن [2] كتاب الإيمان
",000,False,000,False,False,False,1,10
"### | باب قول النبي صلى الله عليه وسلم
",000,False,000,False,False,False,1,1374
"### | باب المسلم من سلم المسلمون من لسانه ويده
",000,False,000,False,False,False,1,380
"### | باب من قال إن الإيمان هو العمل ms0016 وقال عدة من أهل العلم في قوله تعالى {فوربك لنسألنهم أجمعين عما كانوا يعملون} [92 93 الجحر] قال عن قول ((لا إله إلا الله))
",000,False,000,False,False,False,1,640
"### | باب تفاضل أهل الإيمان في الأعمال
",000,False,000,False,False,False,1,230
"### | باب إذا لم يكن الإسلام على الحقيقة
",000,False,000,False,False,False,1,820
"### | باب إفشاء السلام من الإسلام
",000,False,000,False,False,False,1,971
"### | باب الدين يسر وقول النبي صلى الله عليه وسلم أحب الدين إلى الله الحنيفية السمحة
",000,False,000,False,False,False,1,541
"### | باب حسن إسلام المرء
",000,False,000,False,False,False,1,1239
"### | باب زيادة الإيمان ونقصانه
",000,False,000,False,False,False,1,245
"### | باب ما جاء إن الأعمال بالنية وقال رسول الله صلى الله عليه وسلم ((ولكن جهاد ونية))
",000,False,000,False,False,False,1,49
"### | باب خوف المؤمن أن يحبط عمله وهو لا يشعر
",000,False,000,False,False,False,1,619
"### | باب سؤال جبريل النبي صلى الله عليه وسلم عن الإيمان والإسلام وما بين النبي صلى الله عليه وسلم لوفد عبد
",000,False,000,False,False,False,1,42
"### | باب قول النبي صلى الله عليه وسلم ((الدين النصيحة لله ولرسوله ولأئمة المسلمين وعامتهم)) انتهى
",000,False,000,False,False,False,1,1481
"### | من كتاب العلم
",000,False,000,False,False,False,1,1678
"### | باب ما يذكر في المناولة
",000,False,000,False,False,False,1,1298
"### | باب العلم قبل العمل
",000,False,000,False,False,False,1,725
"### | باب الاغتباط في العلم والحكمة قال عمر ((تفقهوا قبل أن تسودوا أخبرنا بذلك إسماعيل بن إبراهيم الحاكم أن عمر
",000,False,000,False,False,False,1,310
"### | باب الخروج في طلب العلم
",000,False,000,False,False,False,1,34
"### | باب فضل من علم وعلم
",000,False,000,False,False,False,1,214
"### | باب رفع العلم وظهور الجهل
",000,False,000,False,False,False,1,150
"### | باب ms0055 تحريض النبي صلى الله عليه وسلم وفد عبد القيس
",000,False,000,False,False,False,1,53
"### | باب التناوب في العلم
",000,False,000,False,False,False,1,153
"### | باب من أعاد الحديث ثلاثا ليفهم عنه
",000,False,000,False,False,False,1,94
"### | باب عظة [الإمام ms0056] النساء وتعليمهن
",000,False,000,False,False,False,1,62
"### | باب كيف يقبض العلم وكتب عمر بن عبد العزيز إلى أبي بكر ابن حزم انظر ما كان من حديث رسول
",000,False,000,False,False,False,1,489
"### | باب هل يجعل للنساء يوما
",000,False,000,False,False,False,1,81
"### | باب ليبلغ العلم الشاهد الغائب قاله ابن عباس عن النبي صلى الله عليه وسلم
",000,False,000,False,False,False,1,49
"### | باب كتابة العلم
",000,False,000,False,False,False,1,178
"### | باب الحياء في العلم
",000,False,000,False,False,False,1,550
"### | ومن كتاب الطهارة
",000,False,000,False,False,False,1,564
"### | باب ما يقول عند الخلاء
",000,False,000,False,False,False,1,318
"### | باب من حمل معه الماء لطهوره
",000,False,000,False,False,False,1,56
"### | باب من حمل العنزة مع الماء في الاستنجاء
",000,False,000,False,False,False,1,162
"### | باب الاستنجاء بالحجارة
",000,False,000,False,False,False,1,57
"### | باب الوضوء ثلاثا ثلاثا
",000,False,000,False,False,False,1,277
"### | باب الاستنثار في الوضوء
",000,False,000,False,False,False,1,28
"### | باب المضمضة في الوضوء
",000,False,000,False,False,False,1,138
"### | باب غسل الأعقاب
",000,False,000,False,False,False,1,96
"### | باب التماس الوضوء إذا حانت الصلاة
",000,False,000,False,False,False,1,65
"### | باب الماء الذي يغسل به شعر الإنسان
",000,False,000,False,False,False,1,2572
"### | 23 - 
",000,False,000,False,False,False,1,603
"### | (باب) قراءة القرآن بعد الحدث وغيره
",000,False,000,False,False,False,1,187
"### | باب مسح الرأس كله
",000,False,000,False,False,False,1,206
"### | باب استعمال فضل وضوء الناس
",000,False,000,False,False,False,1,416
"### | باب وضوء الرجل مع امرأته
",000,False,000,False,False,False,1,466
"### | باب المسح على الخفين
",000,False,000,False,False,False,1,819
"### | باب من لم يتوضأ من لحم الشاة والسويق
",000,False,000,False,False,False,1,334
"### | باب هل يمضمض من اللبن
",000,False,000,False,False,False,1,185
"### | باب ما جاء في غسل البول
",000,False,000,False,False,False,1,41
"### | باب أبوال الإبل والدواب والغنم ومرابضها
",000,False,000,False,False,False,1,141
"### | باب ما يقع من النجاسات في السمن والماء
",000,False,000,False,False,False,1,198
"### | باب إذا ألقي على ظهر المصلي قذر أو جيفة لم تفسد عليه صلاته وكان ابن عمر إذا رأى في ثوبه
",000,False,000,False,False,False,1,414
"### | باب البزاق والمخاط ونحوه في الثوب
",000,False,000,False,False,False,1,140
"### | باب لا يجوز الوضوء بالنبيذ (واللبن) ولا السكر وكرهه الحسن وأبو العالية
",000,False,000,False,False,False,1,281
"### | باب غسل المرأة أباها الدم عن وجهه
",000,False,000,False,False,False,1,179
"### | باب السواك
",000,False,000,False,False,False,1,65
"### | باب دفع السواك إلى الأكبر
",000,False,000,False,False,False,1,439
"### | باب الغسل بالصاع ونحوه
",000,False,000,False,False,False,1,371
"### | باب هل يدخل الجنب يده في الإناء قبل أن يغسلها إذا لم يكن على يده قذر غير الجنابة
",000,False,000,False,False,False,1,412
"### | باب تفريق [الغسل] الوضوء
",000,False,000,False,False,False,1,261
"### | باب إذا ذكر في المسجد أنه جنب [خرج] كما هو ولا يتيمم
",000,False,000,False,False,False,1,124
"### | باب من اغتسل عريانا وحده في الخلوة ومن تستر [فالتستر] أفضل ز 38 ب
",000,False,000,False,False,False,1,771
"### | باب التستر في الغسل عند الناس
",000,False,000,False,False,False,1,60
"### | باب من يفرغ بيمينه على شماله)) عن موسى بن إسماعيل عنه
",000,False,000,False,False,False,1,58
"### | باب الجنب يخرج ويمشي في السوق وغيره
",000,False,000,False,False,False,1,49
"### | باب إذا التقى الختانان
",000,False,000,False,False,False,1,274
"### | ومن كتاب الحيض قوله
",000,False,000,False,False,False,1,8
"### | باب كيف كان (بدء) الحيض وقول النبي صلى الله عليه وسلم ((هذا شيء كتبه الله على بنات آدم))
",000,False,000,False,False,False,1,275
"### | باب قراءة الرجل في حجر امرأته وهي حائض
",000,False,000,False,False,False,1,44
"### | باب مباشرة الحيض
",000,False,000,False,False,False,1,375
"### | باب تقضي الحائض المناسك كلها إلا الطواف بالبيت وقال إبراهيم لا بأس أن تقرأ الآية ولم ير ابن عباس بالقراءة
",000,False,000,False,False,False,1,627
"### | باب التكبير أيام منى) من طريق حفصة بنت سيرين عنها في حديث فيه هذه الألفاظ
",000,False,000,False,False,False,1,177
"### | باب الطيب للمرأة عند غسلها من المحيض
",000,False,000,False,False,False,1,82
"### | باب إقبال الحيض وإدباره
",000,False,000,False,False,False,1,151
"### | باب لا تقضي الحائض الصلاة وقال جابر وأبو سعيد عن النبي صلى الله عليه وسلم ((تدع الصلاة))
",000,False,000,False,False,False,1,230
"### | باب إذا حاضت في شهر ثلاث حيض ويذكر عن علي وشريح أن امرأة جاءت ببينة من بطانة أهلها ممن يرضى
",000,False,000,False,False,False,1,677
"### | ومن كتاب التيمم
",000,False,000,False,False,False,1,7
