string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,271
"### | سنة خمس وأربعين وثماني مائة
",845,year,000,False,845,029,1,409
"### | سنة ست أربعين وثماني مائة
",846,year,000,False,846,028,1,721
"### | سنة سبع وأربعين وثمانمائة
",847,year,000,False,847,027,1,365
"### | سنة ثمان وأربعين وثمانمائة
",848,year,000,False,848,026,1,839
"### | سنة تسع وأربعين وثماني مائة
",849,year,000,False,849,025,1,727
"### | سنة خمسين وثماني مائة
",850,year,000,False,850,024,1,368
"### | سنة إحدى وخمسين وثماني مائة
",851,year,000,False,851,023,1,765
"### | سنة اثنين وخمسين وثمانمائة
",852,year,000,False,852,022,1,2576
"### | سنة ثلاث وخمسين وثماني مائة
",853,year,000,False,853,021,1,3065
"### | سنة أربع وخمسين وثمانمائة
",854,year,000,False,854,020,1,7987
"### | سنة خمس وخمسين وثماني مائة
",855,year,000,False,855,019,1,4347
"### | سنة ست وخمسين وثماني مائة
",856,year,000,False,856,018,1,3099
"### | التراجم
",000,False,000,False,False,False,1,4725
