string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الجزء الأول
",000,False,000,False,False,False,1,4
"### | خطبة الكتاب والكلام على تفسيرها
",000,False,000,False,False,False,1,1106
"### | مطلب في الكلام على ms0004 أما بعد
",000,False,000,False,False,False,1,70
"### | [الكلام على المؤلفات في التاريخ النبوى وتقسيم الكتاب الى قسمين]
",000,False,000,False,False,False,1,1420
"### | القسم الاول في تلخيص سيرته
",000,False,000,False,False,False,1,31
"### | الباب الاول من القسم الاول في مولده وشرف نسبه ومحتده
",000,False,000,False,False,False,1,169
"### | مطلب في الكلام على أنكحة الجاهلية
",000,False,000,False,False,False,1,1498
"### | فصل: وأما ما مهد الله له في قدم نبوته وذكره
",000,False,000,False,False,False,1,1565
"### | فصل: فيما ورد من فضل بلدى مولده ووفاته
",000,False,000,False,False,False,1,505
"### | مطلب في الكلام على ما ورد في فضل مكة
",000,False,000,False,False,False,1,2251
"### | مطلب وأما ما جاء في فضل المدينة
",000,False,000,False,False,False,1,2854
"### | فصل في ذكر آبائه صلى الله عليه وسلم
",000,False,000,False,False,False,1,1932
"### | فصل فيما نقل من مزايا آبائه عليه الصلاة والسلام
",000,False,000,False,False,False,1,1775
"### | [الباب الثاني من القسم الاول في تاريخ ms0054 مولده الى نبوته]
",000,False,000,False,False,False,1,494
"### | مطلب حمل أمه به صلى الله عليه وسلم
",000,False,000,False,False,False,1,459
"### | مطلب فى الآيات التى ظهرت لمولده عليه الصلاة والسلام
",000,False,000,False,False,False,1,111
"### | مطلب في مراضعه صلى الله عليه وسلم
",000,False,000,False,False,False,1,933
"### | مطلب في شق الملكان صدره الشريف
",000,False,000,False,False,False,1,1073
"### | مطلب في الكلام على إحياء الله تعالى له أبويه حتى آمنا به
",000,False,000,False,False,False,1,364
"### | مطلب في وفاة جده عبد المطلب وخروجه مع عمه أبى طالب
",000,False,000,False,False,False,1,601
"### | مطلب فى حضوره صلى الله عليه وسلم حرب الفجار مع قريش وحلف الفضول
",000,False,000,False,False,False,1,334
"### | [مطلب في خروجه الى الشام بتجارة لخديجة وزواجه بها صلى الله عليه وسلم الى الشام]
",000,False,000,False,False,False,1,906
"### | مطلب في بناء قريش الكعبة ووضعه الحجر الاسود بيده الشريفة مكانه من البيت
",000,False,000,False,False,False,1,1395
"### | مطلب في الكلام على أول من بني المسجد الحرام والكلام على أول ما ظهر من لوائح نبوته صلى الله عليه وسلم
",000,False,000,False,False,False,1,503
"### | من ذلك خبر زيد بن نفيل وورقة بن نوفل وغيرهما
",000,False,000,False,False,False,1,835
"### | ومن ذلك خبر سلمان الفارسي رضى الله عنه
",000,False,000,False,False,False,1,324
"### | ومن ذلك ابن الهيبان من يهود الشام
",000,False,000,False,False,False,1,44
"### | مطلب في تحنثه صلى الله عليه وسلم بغار حراء وما قيل في عصمته وما كان يراه من أمارت النبوة
",000,False,000,False,False,False,1,1370
"### | [الباب الثالث في ذكر نبوته وما بعدها الى هجرته صلى الله عليه وسلم]
",000,False,000,False,False,False,1,904
"### | مطلب في بدء نبوته صلي الله عليه وسلم وظهور جبريل له بغراء حراء
",000,False,000,False,False,False,1,989
"### | مطلب في أخبار صلى الله عليه وسلم لورقد بن نوفل عن ظهور جبريل له
",000,False,000,False,False,False,1,1045
"### | مطلب في تعليم جبريل له عليه الصلاة والسلام الوضوء والصلاة
",000,False,000,False,False,False,1,378
"### | فصل: في صفة جبريل عليه السلام وانه سفير الانبياء وعدد نزوله على النبى صلي الله عليه وسلم وبيان كيفيات الوحي
",000,False,000,False,False,False,1,1760
"### | [مطلب في تاريخ رسالته الى الخلق على ما حكاه أهل التاريح والدعوة اليها سرا]
",000,False,000,False,False,False,1,427
"### | الكلام على حديث ان هذا الدين بدأ غريبا وسيعود كما بدأ
",000,False,000,False,False,False,1,983
"### | مطلب في ذكر أول من آمن به صلي الله عليه وسلم
",000,False,000,False,False,False,1,1396
"### | الكلام على منابذة قريش له حين أمره الله باظهار الدعوة وان يصدع بما يؤمر
",000,False,000,False,False,False,1,388
"### | خبر اشتداد قريش على أبي طالب ووثوب كل قبيلة على من اسلم منها يعذبونه
",000,False,000,False,False,False,1,840
"### | [خبر اجتماع قريش الى الوليد بن المغيرة وتآمرهم فيما يرمونه به صلي الله عليه وسلم]
",000,False,000,False,False,False,1,903
"### | مطلب في مناواة قريش له صلى الله عليه وسلم بالذي وذكر طرفا مما آذوه به
",000,False,000,False,False,False,1,4005
"### | تتمة لهذا المطلب في العوارض البشرية التى لحقته صلى الله عليه من جراء ذلك
",000,False,000,False,False,False,1,946
"### | مطلب في الكلام على تعذيب قريش للمستضعفين من المؤمنين
",000,False,000,False,False,False,1,1076
"### | [مطلب في الكلام على الهجرة الأولى الى الحبشة وبيان من هاجر إليها من الأصحاب]
",000,False,000,False,False,False,1,796
"### | مطلب في تعقب قريش لمهاجرى الحبشة وعودتهم بالخيبة
",000,False,000,False,False,False,1,1369
"### | مطلب في مكاتبته صلى الله عليه وسلم للنجاشى ليزوجه ام حبيبة بنت أبي سفيان وخبر ذلك
",000,False,000,False,False,False,1,412
"### | فصل وكان صلى الله عليه وسلم يكرم مهاجرة الحبشة ويلاطفهم ويذكر من فضلهم
",000,False,000,False,False,False,1,763
"### | فصل في حكم الفرار بالدين والعجز عن مقاومة المشركين
",000,False,000,False,False,False,1,454
"### | مطلب في إسلام سيدنا حمزة عمه صلى الله عليه وسلم وسبب ذلك
",000,False,000,False,False,False,1,346
"### | مطلب في إسلام سيدنا عمر بن الخطاب وتعزيز الله به ضعفة المسلمين
",000,False,000,False,False,False,1,497
"### | مطلب في اجتماع بطون قريش على مقاطعة بني هاشم وبني المطلب وكتبهم بذلك الصحيفة ودخول أبي طالب ومن انحاذ معه الشعب ms0162 محاصرين من قريش
",000,False,000,False,False,False,1,1077
"### | ذكر خبر نقض الصحيفة المذكورة
",000,False,000,False,False,False,1,540
"### | [109- الكلام على وقعة بعاث بين الأوس والخزرج وقدوم سويد بن الصامت الأوسى عليه صلي الله عليه وسلم وأول خبر الأنصار]
",000,False,000,False,False,False,1,2015
"### | الكلام على وفات عمه أبى طالب والسيدة خديجة وحزنه صلى الله عليه وسلم لذلك وما ناله من أذى قريش عقب ذلك
",000,False,000,False,False,False,1,3055
"### | مطلب في خروجه صلى الله عليه وسلم لثقيف بالطائف وخبر ما لقي من أذاهم وخبر جن نصيبين
",000,False,000,False,False,False,1,1273
"### | فصل في الكلام على الجن واختلاف الناس فيهم
",000,False,000,False,False,False,1,1343
"### | مطلب في عرض نفسه صلى الله عليه وسلم على القبائل لحمايته من أذى قريش وليتمكن من نشر دعوته وخبر ذلك
",000,False,000,False,False,False,1,747
"### | مطلب في بدء اسلام الأنصار وقصة الإسراء
",000,False,000,False,False,False,1,2151
"### | مطلب فى قدوم الأنصار اليه صلى الله عليه وسلم وخبر بيعة العقبة الأولى
",000,False,000,False,False,False,1,1173
"### | مطلب فى قدوم الأنصار اليه ثانية وبيعة العقبة الثالثة المتفق على صحتها
",000,False,000,False,False,False,1,884
"### | مطلب في أسماء النقباء من الأوس والخزرج وطرفا من أحوالهم ومواخذة قريش لهم في ذلك
",000,False,000,False,False,False,1,2537
"### | [الكلام على بدء الهجرة الى المدينة وأول من هاجر من أصحاب رسول الله صلى الله عليه وآله وسلم]
",000,False,000,False,False,False,1,1134
"### | [الباب الرابع في هجرته صلى الله عليه وسلم وما بعدها الى وفاته]
",000,False,000,False,False,False,1,2123
"### | مطلب في الكلام على وصوله صلى الله عليه وسلم المدينة
",000,False,000,False,False,False,1,1308
"### | فصل: في المسجد الشريف النبوى وعمارته
",000,False,000,False,False,False,1,633
"### | فصل: في ذكر منازل المهاجرين على الأنصار ومواساتهم لهم
",000,False,000,False,False,False,1,1393
"### | فصل: في ان الله تعالى أوعد الوعيد العظيم على من أسلم قبل الهجرة ولم يهاجر والكلام على ذلك
",000,False,000,False,False,False,1,724
"### | فصل: فى مناواة يهود المدينة الاذي للنبى صلي الله عليه وسلم بعد ما قدم اليها
",000,False,000,False,False,False,1,936
"### | فصل: فى ذكر ما أصاب المهاجرين من حمي المدينة ودعائه صلى الله عليه وسلم بان يصح هواءها ويجببها اليهم
",000,False,000,False,False,False,1,336
"### | فصل ولما اطمأن برسول الله الدار وأعز الله جنده أذن له بقتال قريش ومن ناواه من غيرهم
",000,False,000,False,False,False,1,309
"### | مطلب في كتبه صلي الله عليه وسلم الكتاب بين المهاجرين والأنصار ومواخاته بينهما وموادعته يهود المدينة
",000,False,000,False,False,False,1,1397
"### | مطلب في مشروعية في الأذان
",000,False,000,False,False,False,1,637
"### | مطلب في إسلام عبد الله بن سلام وخبر ذلك
",000,False,000,False,False,False,1,383
"### | مطلب في غزوة ودان وتحويل القبلة
",000,False,000,False,False,False,1,1330
"### | مطلب في مشروعية صيام رمضان
",000,False,000,False,False,False,1,258
"### | مطلب في بنائه صلى الله عليه وسلم بعائشة وتزويج علي بفاطمة رضى الله عنهم ومشروعية صدقة الفطر
",000,False,000,False,False,False,1,551
"### | مطلب في إسلام سيدنا العباس والكلام على أول راية عقدها رسول الله
",000,False,000,False,False,False,1,1258
"### | مطلب فى غزوة بدر الكبري والكلام عليها تفصيلا
",000,False,000,False,False,False,1,3398
"### | مطلب فى خبر حاطب بن أبي بلتعة ومكاتبة لمشركي قريش
",000,False,000,False,False,False,1,533
"### | فصل: وسمى يوم بدر باسم المكان
",000,False,000,False,False,False,1,840
"### | مطلب في الكلام على قتل كعب بن الأشرف وأبي رافع بن أبى الحقيق
",000,False,000,False,False,False,1,1622
"### | الكلام على ولادة سيدنا الحسن بن على رضى الله عنهما
",000,False,000,False,False,False,1,492
"### | الكلام على غزوة أحد تفصيلا
",000,False,000,False,False,False,1,3048
"### | فصل في فضل الشهادة ومزية شهداء أحد
",000,False,000,False,False,False,1,926
"### | فصل فى الكلام من أكرم بالشهادة يوم أحد
",000,False,000,False,False,False,1,2530
