string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,274
"### | : «ما كان لي ولبني عبد المطلب فهو لكم» .
",000,False,000,False,False,False,1,51
"### | 2 - 
",000,False,000,False,False,False,1,81
"### | : «يا غلام هل رأيت أوفهمت أو أعيد عليك؟» فقلت: قد كفاني وقد فهمت، فقال: «هكذا رأيت رسول 
",000,False,000,False,False,False,1,52
"### | 3 - 
",000,False,000,False,False,False,1,35
"### | : «طوبى لمن رآني، وآمن بي، ومن رأى من رآني، ومن رأى من رأى من رآني» .
",000,False,000,False,False,False,1,117
"### | 4 - 
",000,False,000,False,False,False,1,78
"### | : «الصوم جنة»
",000,False,000,False,False,False,1,2
"### | 5 - 
",000,False,000,False,False,False,1,22
"### | : «كل عمل ابن آدم له إلا الصوم فإنه لي وأنا أجزي به»
",000,False,000,False,False,False,1,12
"### | 6 - 
",000,False,000,False,False,False,1,31
"### | : «إن للجنة بابا يدعى الريان، لا يدخل منه إلا الصائمون»
",000,False,000,False,False,False,1,10
"### | 7 - 
",000,False,000,False,False,False,1,31
"### | : «الحياء والإيمان في قرن واحد، فإذا سلب أحدهما تبعه الآخر»
",000,False,000,False,False,False,1,10
"### | 8 - 
",000,False,000,False,False,False,1,31
"### | : «أول ما ينزع من العبد الحياء، فيصير مقيتا ممقتا، ثم تنزع منه الأمانة فيصير خائنا مخونا، ثم 
",000,False,000,False,False,False,1,31
"### | 9 - 
",000,False,000,False,False,False,1,31
"### | : «من ms3 قال سبحان الله وبحمده كتب الله له ألف ألف حسنة، ومحي عنه ألف ألف سيئة، ورفع له ألف ألف 
",000,False,000,False,False,False,1,25
"### | 10 - 
",000,False,000,False,False,False,1,24
"### | : «من ضمن لي اثنين ضمنت له الجنة» .
",000,False,000,False,False,False,1,154
"### | 11 - 
",000,False,000,False,False,False,1,17
"### | : «النظر إلى الوجه الحسن يجلو البصر، النظر إلى الوجه القبيح يورث الكلح»
",000,False,000,False,False,False,1,12
"### | 12 - 
",000,False,000,False,False,False,1,19
"### | : «ما حسن الله خلق امرئ مسلم وخلقه فيطعم لحمه النار»
",000,False,000,False,False,False,1,10
"### | 13 - 
",000,False,000,False,False,False,1,19
"### | : «الشعر الحسن أحد الجمالين يكسوه الله المرء المسلم»
",000,False,000,False,False,False,1,8
"### | 14 - 
",000,False,000,False,False,False,1,19
"### | : «من تأمل خلق امرأة حتى يتبين له حجم عظامها من ورائها وهو صائم فقد أفطر»
",000,False,000,False,False,False,1,15
"### | 14 - 
",000,False,000,False,False,False,1,19
"### | : «الصوم جنة»
",000,False,000,False,False,False,1,2
"### | 15 - 
",000,False,000,False,False,False,1,19
"### | : "" للصائم فرحتان: فرحة عند إفطاره، وفرحة حين يلقى ربه عز وجل، ولخلوف فم الصائم عند الله أطيب 
",000,False,000,False,False,False,1,22
"### | 16 - 
",000,False,000,False,False,False,1,23
"### | : «كل عمل ابن آدم له إلا الصوم فإنه لي وأنا أجزي به»
",000,False,000,False,False,False,1,12
"### | 17 - 
",000,False,000,False,False,False,1,21
"### | للجنة بابا يقال له: الريان، لا يدخل منه إلا الصائمون ""
",000,False,000,False,False,False,1,12
"### | 18 - 
",000,False,000,False,False,False,1,19
"### | : «من صام يوما تطوعا فلو أعطي ملء الأرض ذهبا ما وفى أجره دون يوم الحساب»
",000,False,000,False,False,False,1,15
"### | 19 - 
",000,False,000,False,False,False,1,19
"### | : «من صام يوما واحدا في سبيل الله باعده الله من النار سبعين خريفا»
",000,False,000,False,False,False,1,13
"### | 20 - 
",000,False,000,False,False,False,1,19
"### | : "" ما مررت ليلة أسري بي بملأ من الملائكة إلا قالوا: يا محمد مر أمتك 
",000,False,000,False,False,False,1,17
"### | 21 - 
",000,False,000,False,False,False,1,19
"### | : "" من شكر زاده الله، لقوله تعالى {لئن شكرتم لأزيدنكم} [إبراهيم: 7] ""
",000,False,000,False,False,False,1,11
"### | 22 - 
",000,False,000,False,False,False,1,19
"### | : «من ضمن لي ما بين لحييه ورجليه ضمنت له الجنة»
",000,False,000,False,False,False,1,10
"### | 23 - 
",000,False,000,False,False,False,1,19
"### | : "" من قال سبحان الله وبحمده كتب له ألف حسنة، ومحي عنه ألف سيئة، ورفع له ألف درجة، ومن زاد 
",000,False,000,False,False,False,1,86
"### | 24 - 
",000,False,000,False,False,False,1,19
"### | : «من لم يشكر الناس لم يشكر الله عز وجل ms5»
",000,False,000,False,False,False,1,10
"### | 25 - 
",000,False,000,False,False,False,1,19
"### | : «من ألقى جلباب الحياء فلا غيبة له»
",000,False,000,False,False,False,1,7
"### | 26 - 
",000,False,000,False,False,False,1,19
"### | : «أول ما ينزع الله من العبد الحياء» الحديث
",000,False,000,False,False,False,1,8
"### | 27 - 
",000,False,000,False,False,False,1,19
"### | : «الحياء خير كله»
",000,False,000,False,False,False,1,3
"### | 28 - 
",000,False,000,False,False,False,1,19
"### | : «حياتي خير لكم، ومماتي خير لكم، فأما حياتي فأحدثكم وأحذركم وأخولكم، وأما موتي فيعرض علي 
",000,False,000,False,False,False,1,35
"### | 29 - 
",000,False,000,False,False,False,1,19
"### | : «ما ضاق مجلس متحابين»
",000,False,000,False,False,False,1,4
"### | 30 - 
",000,False,000,False,False,False,1,19
"### | : «اطلبوا الخير عند صباح الوجوه»
",000,False,000,False,False,False,1,455
