string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,11
"### | 2 - 
",000,False,000,False,False,False,1,17
"### | 3 - 
",000,False,000,False,False,False,1,9
"### | 4 - 
",000,False,000,False,False,False,1,13
"### | 5 - 
",000,False,000,False,False,False,1,7
"### | 6 - 
",000,False,000,False,False,False,1,13
"### | 7 - 
",000,False,000,False,False,False,1,13
"### | 8 - 
",000,False,000,False,False,False,1,11
"### | 9 - 
",000,False,000,False,False,False,1,46
"### | الأحاديث الوارد في تقلد القضاء
",000,False,000,False,False,False,1,10
"### | 112 - 
",000,False,000,False,False,False,1,149
"### | 114 - 
",000,False,000,False,False,False,1,33
"### | 115 - 
",000,False,000,False,False,False,1,204
"### | 116 - 
",000,False,000,False,False,False,1,25
"### | 117 - 
",000,False,000,False,False,False,1,40
"### | نصيحة الرسول - صلى الله عليه وسلم - لأبي ذر
",000,False,000,False,False,False,1,16
"### | 118 - 
",000,False,000,False,False,False,1,30
"### | 119 - 
",000,False,000,False,False,False,1,22
"### | 120 - 
",000,False,000,False,False,False,1,33
"### | شدة حساب القاضي العدل
",000,False,000,False,False,False,1,8
"### | 121 - 
",000,False,000,False,False,False,1,42
"### | 122 - 
",000,False,000,False,False,False,1,32
"### | 123 - 
",000,False,000,False,False,False,1,43
"### | حكم من قضى بجور أو جهل
",000,False,000,False,False,False,1,12
"### | 124 - 
",000,False,000,False,False,False,1,104
"### | 125 - 
",000,False,000,False,False,False,1,47
"### | 126 - 
",000,False,000,False,False,False,1,26
"### | 127 - 
",000,False,000,False,False,False,1,38
"### | أول الأمارة ملامة
",000,False,000,False,False,False,1,6
"### | 128 - 
",000,False,000,False,False,False,1,42
"### | 129 - 
",000,False,000,False,False,False,1,42
"### | 130 - 
",000,False,000,False,False,False,1,37
"### | 131 - 
",000,False,000,False,False,False,1,34
"### | 132 - 
",000,False,000,False,False,False,1,17
"### | 133 - 
",000,False,000,False,False,False,1,47
"### | 134 - 
",000,False,000,False,False,False,1,17
"### | 135 - 
",000,False,000,False,False,False,1,30
"### | 136 - 
",000,False,000,False,False,False,1,52
"### | 137 - 
",000,False,000,False,False,False,1,27
"### | 138 - 
",000,False,000,False,False,False,1,48
"### | هل القضاة أول من يدعى للحساب؟
",000,False,000,False,False,False,1,12
"### | 139 - 
",000,False,000,False,False,False,1,20
"### | 140 - 
",000,False,000,False,False,False,1,16
"### | 141 - 
",000,False,000,False,False,False,1,47
"### | رجل يحب أن يحشر مع العلماء
",000,False,000,False,False,False,1,12
"### | 142 - 
",000,False,000,False,False,False,1,49
"### | 143 - 
",000,False,000,False,False,False,1,74
"### | فرار السلف الصالح من القضاء
",000,False,000,False,False,False,1,10
"### | 144 - 
",000,False,000,False,False,False,1,73
"### | 145 - 
",000,False,000,False,False,False,1,13
"### | 146 - 
",000,False,000,False,False,False,1,175
"### | 147 - 
",000,False,000,False,False,False,1,75
"### | 148 - 
",000,False,000,False,False,False,1,196
"### | أحوال القضاة في بني إسرائيل
",000,False,000,False,False,False,1,10
"### | 149 - 
",000,False,000,False,False,False,1,123
"### | 150 - 
",000,False,000,False,False,False,1,58
"### | 151 - 
",000,False,000,False,False,False,1,120
"### | 152 - 
",000,False,000,False,False,False,1,111
"### | 153 - 
",000,False,000,False,False,False,1,53
"### | 154 - 
",000,False,000,False,False,False,1,173
