string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | خطبة الكتاب
",000,False,000,False,False,False,1,2037
"### | مقدمة
",000,False,000,False,False,False,1,700
"### | سورة فاتحة الكتاب
",000,False,000,False,False,False,1,6
"### | 2- 
",000,False,000,False,False,False,1,69
"### | 3- 
",000,False,000,False,False,False,1,11
"### | 4- 
",000,False,000,False,False,False,1,10
"### | 5- 
",000,False,000,False,False,False,1,160
"### | 7- 
",000,False,000,False,False,False,1,14
"### | سورة البقرة
",000,False,000,False,False,False,1,4
"### | 3- 
",000,False,000,False,False,False,1,18
"### | 8- 
",000,False,000,False,False,False,1,61
"### | 22- 
",000,False,000,False,False,False,1,43
"### | 29- 
",000,False,000,False,False,False,1,35
"### | 23- 
",000,False,000,False,False,False,1,42
"### | 26- 
",000,False,000,False,False,False,1,28
"### | 30- 
",000,False,000,False,False,False,1,34
"### | 31- 
",000,False,000,False,False,False,1,27
"### | 33- 
",000,False,000,False,False,False,1,125
"### | 34- 
",000,False,000,False,False,False,1,28
"### | 35- 
",000,False,000,False,False,False,1,53
"### | 40- 
",000,False,000,False,False,False,1,44
"### | 43- 
",000,False,000,False,False,False,1,20
"### | 45- 
",000,False,000,False,False,False,1,43
"### | 47- 
",000,False,000,False,False,False,1,31
"### | 50- 
",000,False,000,False,False,False,1,40
"### | 57- 
",000,False,000,False,False,False,1,26
"### | 59- 
",000,False,000,False,False,False,1,64
"### | 67- 
",000,False,000,False,False,False,1,208
"### | 79- 
",000,False,000,False,False,False,1,23
"### | 81- 
",000,False,000,False,False,False,1,27
"### | 102- 
",000,False,000,False,False,False,1,61
"### | 104- 
",000,False,000,False,False,False,1,36
"### | 106- 
",000,False,000,False,False,False,1,50
"### | 114- 
",000,False,000,False,False,False,1,39
"### | 115- 
",000,False,000,False,False,False,1,72
"### | 116- 
",000,False,000,False,False,False,1,19
"### | 124- 
",000,False,000,False,False,False,1,196
"### | 125- 
",000,False,000,False,False,False,1,269
"### | 127- 
",000,False,000,False,False,False,1,24
"### | 130- 
",000,False,000,False,False,False,1,36
"### | 133- 
",000,False,000,False,False,False,1,62
"### | 141- 
",000,False,000,False,False,False,1,44
"### | 142- 
",000,False,000,False,False,False,1,33
"### | 143- 
",000,False,000,False,False,False,1,55
