string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الحديث الأول
",000,False,000,False,False,False,1,178
"### | الحديث الثاني
",000,False,000,False,False,False,1,136
"### | الحديث الثالث
",000,False,000,False,False,False,1,180
"### | الحديث الرابع
",000,False,000,False,False,False,1,168
"### | الحديث الخامس
",000,False,000,False,False,False,1,166
"### | الحديث السادس
",000,False,000,False,False,False,1,246
"### | الحديث السابع
",000,False,000,False,False,False,1,202
"### | الحديث الثامن
",000,False,000,False,False,False,1,352
"### | الحديث التاسع
",000,False,000,False,False,False,1,207
"### | الحديث العاشر
",000,False,000,False,False,False,1,192
"### | الحديث الحادي عشر
",000,False,000,False,False,False,1,331
"### | الحديث الثاني عشر
",000,False,000,False,False,False,1,116
"### | الحديث الثالث عشر
",000,False,000,False,False,False,1,188
"### | الحديث الرابع عشر
",000,False,000,False,False,False,1,284
"### | الحديث الخامس عشر
",000,False,000,False,False,False,1,334
"### | الحديث السادس عشر
",000,False,000,False,False,False,1,383
"### | الحديث السابع عشر
",000,False,000,False,False,False,1,194
"### | الحديث الثامن عشر
",000,False,000,False,False,False,1,177
"### | الحديث التاسع عشر
",000,False,000,False,False,False,1,330
"### | الحديث العشرون
",000,False,000,False,False,False,1,196
"### | الحديث الحادي والعشرون
",000,False,000,False,False,False,1,210
"### | الحديث الثاني والعشرون
",000,False,000,False,False,False,1,129
"### | الحديث الثالث والعشرون
",000,False,000,False,False,False,1,311
"### | أثر عن عثمان بن عفان مسلسل بالنون
",000,False,000,False,False,False,1,147
"### | أثر عن علي مسلسل بالآباء
",000,False,000,False,False,False,1,123
