string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,112
"### | الحديث الأول
",000,False,000,False,False,False,1,26
"### | الحديث الثاني
",000,False,000,False,False,False,1,37
"### | الحديث الثالث
",000,False,000,False,False,False,1,65
"### | الحديث الرابع
",000,False,000,False,False,False,1,40
"### | الحديث الخامس
",000,False,000,False,False,False,1,41
"### | الحديث السادس
",000,False,000,False,False,False,1,52
"### | الحديث السابع
",000,False,000,False,False,False,1,69
"### | الحديث الثامن
",000,False,000,False,False,False,1,44
"### | الحديث التاسع
",000,False,000,False,False,False,1,44
"### | الحديث العاشر
",000,False,000,False,False,False,1,50
"### | الحديث الحادي عشر
",000,False,000,False,False,False,1,43
"### | الحديث الثاني عشر
",000,False,000,False,False,False,1,31
"### | الحديث الثالث عشر
",000,False,000,False,False,False,1,30
"### | الحديث الرابع عشر
",000,False,000,False,False,False,1,41
"### | الحديث الخامس عشر
",000,False,000,False,False,False,1,28
"### | الحديث السادس عشر
",000,False,000,False,False,False,1,49
"### | الحديث السابع عشر
",000,False,000,False,False,False,1,65
"### | الحديث الثامن عشر
",000,False,000,False,False,False,1,29
"### | الحديث التاسع عشر
",000,False,000,False,False,False,1,38
"### | الحديث العشرون
",000,False,000,False,False,False,1,83
"### | الحديث الحادي والعشرون
",000,False,000,False,False,False,1,67
"### | الحديث الثاني والعشرون
",000,False,000,False,False,False,1,28
"### | الحديث الثالث والعشرون
",000,False,000,False,False,False,1,34
"### | الحديث الرابع والعشرون
",000,False,000,False,False,False,1,29
"### | الحديث الخامس والعشرون
",000,False,000,False,False,False,1,42
"### | الحديث السادس والعشرون
",000,False,000,False,False,False,1,25
"### | الحديث السابع والعشرون
",000,False,000,False,False,False,1,42
"### | الحديث الثامن والعشرون
",000,False,000,False,False,False,1,32
"### | الحديث التاسع والعشرون
",000,False,000,False,False,False,1,37
"### | الحديث الثلاثون
",000,False,000,False,False,False,1,70
"### | الحديث الحادي والثلاثون
",000,False,000,False,False,False,1,30
"### | الحديث الثاني والثلاثون
",000,False,000,False,False,False,1,46
"### | الحديث الثالث والثلاثون
",000,False,000,False,False,False,1,84
"### | الحديث الرابع والثلاثون
",000,False,000,False,False,False,1,38
"### | الحديث الخامس والثلاثون
",000,False,000,False,False,False,1,40
"### | الحديث السادس والثلاثون
",000,False,000,False,False,False,1,36
"### | الحديث السابع والثلاثون
",000,False,000,False,False,False,1,65
"### | الحديث الثامن والثلاثون
",000,False,000,False,False,False,1,41
"### | الحديث التاسع والثلاثون
",000,False,000,False,False,False,1,52
"### | الحديث الأربعون
",000,False,000,False,False,False,1,131
