string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO تصدير
",000,False,000,False,False,False,1,1890
"### | AUTO مقدمة التحقيق
",000,False,000,False,False,False,1,11419
"### || AUTO أهمية الكتاب
",000,False,000,False,False,False,2,1525
"### || AUTO ترجمة المؤلف
",000,False,000,False,False,False,2,2150
"### ||| AUTO أسرة المؤلف
",000,False,000,False,False,False,3,648
"### ||| AUTO علم المؤلف وأدبه وشعره
",000,False,000,False,False,False,3,1028
"### ||| AUTO وفاة المؤلف
",000,False,000,False,False,False,3,75
"### || AUTO ترجمة العلامة داود بن الهادي (مؤلف ملحق البسامة المطبوع آخر
",000,False,000,False,False,False,2,502
"### | AUTO [مقدمة المؤلف]
",000,False,000,False,False,False,1,156061
"### || AUTO [الفصل الأول]
",000,False,000,False,False,False,2,2905
"### || AUTO الفصل الثاني
",000,False,000,False,False,False,2,3067
"### || AUTO [ذكر نسب الفرس ودولهم وبعض ملوكهم وسبب تسميتهم بالفرس]
",000,False,000,False,False,False,2,1515
"### || AUTO [ذكر اليونان وإلى من ينتمون]
",000,False,000,False,False,False,2,812
"### || AUTO [ ذكر الإسكندر ذي القرنين]
",000,False,000,False,False,False,2,211
"### || AUTO [ذكر طرف من أخبار الروم]
",000,False,000,False,False,False,2,400
"### || AUTO [ذكر أمة الترك]
",000,False,000,False,False,False,2,47
"### || AUTO [ذكر أمة السودان]
",000,False,000,False,False,False,2,87
"### || AUTO ذكر أمة الخزر
",000,False,000,False,False,False,2,501
"### || AUTO [ذكر طرف من أخبار التبابعة]
",000,False,000,False,False,False,2,2799
"### ||| AUTO فصل: في ذكر سيف بن ذي يزن
",000,False,000,False,False,False,3,631
"### ||| AUTO فصل: في ذكر ذي رعين
",000,False,000,False,False,False,3,482
"### || AUTO [ذكر موت النبي - صلى الله عليه وآله وسلم -]
",000,False,000,False,False,False,2,12478
"### ||| AUTO [ذكر طرف من أخبار السقيفة]
",000,False,000,False,False,False,3,774
"### ||| AUTO [ذكر فدك وخيبر]
",000,False,000,False,False,False,3,1160
"### ||| AUTO [ذكر آية وحديث المباهلة]
",000,False,000,False,False,False,3,137
"### ||| AUTO [المراد من لفظ الوصي إذا أطلق]
",000,False,000,False,False,False,3,197
"### ||| AUTO [المغيرة بن شعبة]
",000,False,000,False,False,False,3,854
"### ||| AUTO [ذكر الخطبة الشقشقية]
",000,False,000,False,False,False,3,435
"### ||| AUTO [تجرم أمير المؤمنين(ع) على من تقدمه]
",000,False,000,False,False,False,3,458
"### ||| AUTO [الرأي في المشائخ الذين تقدموا عليا( ع)]
",000,False,000,False,False,False,3,205
"### ||| AUTO [ذكر غزاة مؤتة]
",000,False,000,False,False,False,3,676
"### ||| AUTO [ذكر غزوة تبوك]
",000,False,000,False,False,False,3,619
"### ||| AUTO [ذكر غزاة غطفان]
",000,False,000,False,False,False,3,43
"### ||| AUTO [الرأي في معاوية وشيعته]
",000,False,000,False,False,False,3,462
"### ||| AUTO [ذكر أويس القرني]
",000,False,000,False,False,False,3,819
