string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [الفتح السماوي بتخريج أحاديث القاضي البيضاوي]
",000,False,000,False,False,False,1,43
"### | المقدمة
",000,False,000,False,False,False,1,150
"### | [1 سورة الفاتحة]
",000,False,000,False,False,False,1,42
"### | 2 - 
",000,False,000,False,False,False,1,43
"### | 3 - 
",000,False,000,False,False,False,1,54
"### | 4 - 
",000,False,000,False,False,False,1,165
"### | 5 - 
",000,False,000,False,False,False,1,166
"### | 6 - 
",000,False,000,False,False,False,1,24
"### | 7 - 
",000,False,000,False,False,False,1,24
"### | 8 - 
",000,False,000,False,False,False,1,53
"### | 9 - 
",000,False,000,False,False,False,1,45
"### | 10 - 
",000,False,000,False,False,False,1,11
"### | 11 - 
",000,False,000,False,False,False,1,138
"### | 12 - 
",000,False,000,False,False,False,1,45
"### | 13 - 
",000,False,000,False,False,False,1,141
"### | 14 - 
",000,False,000,False,False,False,1,45
"### | 15 - 
",000,False,000,False,False,False,1,79
"### | 16 - 
",000,False,000,False,False,False,1,128
"### | 17 - 
",000,False,000,False,False,False,1,99
"### | 18 - 
",000,False,000,False,False,False,1,142
"### | 2 سورة البقرة
",000,False,000,False,False,False,1,6
"### | 19 - 
",000,False,000,False,False,False,1,60
"### | 20 - 
",000,False,000,False,False,False,1,28
"### | 21 - 
",000,False,000,False,False,False,1,22
"### | 22 - 
",000,False,000,False,False,False,1,22
"### | 23 - 
",000,False,000,False,False,False,1,30
"### | 24 - 
",000,False,000,False,False,False,1,25
"### | 25 - 
",000,False,000,False,False,False,1,54
"### | 26/ - 
",000,False,000,False,False,False,1,21
"### | 26 - / 
",000,False,000,False,False,False,1,27
"### | 27 - 
",000,False,000,False,False,False,1,61
"### | 28 - 
",000,False,000,False,False,False,1,59
"### | 29 - 29 
",000,False,000,False,False,False,1,42
"### | 30 - 
",000,False,000,False,False,False,1,96
"### | 31 - 
",000,False,000,False,False,False,1,22
"### | 32 - 
",000,False,000,False,False,False,1,168
"### | 33 - 
",000,False,000,False,False,False,1,81
"### | 34 - 
",000,False,000,False,False,False,1,49
