string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,11
"### | [ص: 2]
",000,False,000,False,False,False,1,490
"### | [ص: 3]
",000,False,000,False,False,False,1,458
"### | [ص: 4]
",000,False,000,False,False,False,1,628
"### | [ص: 5]
",000,False,000,False,False,False,1,615
"### | [ص: 6]
",000,False,000,False,False,False,1,662
"### | [ص: 7]
",000,False,000,False,False,False,1,636
"### | [ص: 8]
",000,False,000,False,False,False,1,658
"### | [ص: 9]
",000,False,000,False,False,False,1,656
"### | [ص: 10]
",000,False,000,False,False,False,1,611
"### | [ص: 11]
",000,False,000,False,False,False,1,627
"### | [ص: 12]
",000,False,000,False,False,False,1,653
"### | [ص: 13]
",000,False,000,False,False,False,1,588
"### | [ص: 14]
",000,False,000,False,False,False,1,616
"### | [ص: 15]
",000,False,000,False,False,False,1,653
"### | [ص: 16]
",000,False,000,False,False,False,1,595
"### | [ص: 17]
",000,False,000,False,False,False,1,594
"### | [ص: 18]
",000,False,000,False,False,False,1,641
"### | [ص: 19]
",000,False,000,False,False,False,1,566
"### | [ص: 20]
",000,False,000,False,False,False,1,586
"### | [ص: 21]
",000,False,000,False,False,False,1,594
"### | [ص: 22]
",000,False,000,False,False,False,1,580
"### | [ص: 23]
",000,False,000,False,False,False,1,582
"### | [ص: 24]
",000,False,000,False,False,False,1,606
"### | [ص: 25]
",000,False,000,False,False,False,1,617
"### | [ص: 26]
",000,False,000,False,False,False,1,600
"### | [ص: 27]
",000,False,000,False,False,False,1,576
"### | [ص: 28]
",000,False,000,False,False,False,1,595
"### | [ص: 29]
",000,False,000,False,False,False,1,528
"### | [ص: 30]
",000,False,000,False,False,False,1,47
"### | 1 - 
",000,False,000,False,False,False,1,555
"### | [ص: 31]
",000,False,000,False,False,False,1,622
"### | [ص: 32]
",000,False,000,False,False,False,1,687
"### | [ص: 33]
",000,False,000,False,False,False,1,653
"### | [ص: 34]
",000,False,000,False,False,False,1,602
"### | [ص: 35]
",000,False,000,False,False,False,1,400
"### | حرف الهمزة
",000,False,000,False,False,False,1,78
"### | 2 - 
",000,False,000,False,False,False,1,47
"### | [ص: 36]
",000,False,000,False,False,False,1,611
"### | [ص: 37]
",000,False,000,False,False,False,1,672
"### | [ص: 38]
",000,False,000,False,False,False,1,673
"### | [ص: 39]
",000,False,000,False,False,False,1,584
"### | [ص: 40]
",000,False,000,False,False,False,1,631
"### | [ص: 41]
",000,False,000,False,False,False,1,132
"### | 4 - 
",000,False,000,False,False,False,1,344
"### | 5 - 
",000,False,000,False,False,False,1,91
"### | [ص: 42]
",000,False,000,False,False,False,1,564
"### | [ص: 43]
",000,False,000,False,False,False,1,65
"### | 6 - 
",000,False,000,False,False,False,1,550
"### | [ص: 44]
",000,False,000,False,False,False,1,64
"### | 7 - 
",000,False,000,False,False,False,1,476
"### | [ص: 45]
",000,False,000,False,False,False,1,589
"### | [ص: 46]
",000,False,000,False,False,False,1,673
"### | [ص: 47]
",000,False,000,False,False,False,1,321
"### | 9 - 
",000,False,000,False,False,False,1,221
"### | [ص: 48]
",000,False,000,False,False,False,1,582
"### | [ص: 49]
",000,False,000,False,False,False,1,345
"### | 10 - 
",000,False,000,False,False,False,1,215
"### | [ص: 50]
",000,False,000,False,False,False,1,597
"### | [ص: 51]
",000,False,000,False,False,False,1,579
"### | [ص: 52]
",000,False,000,False,False,False,1,87
"### | 11 - 
",000,False,000,False,False,False,1,233
"### | 12 - 
",000,False,000,False,False,False,1,259
"### | [ص: 53]
",000,False,000,False,False,False,1,193
"### | 13 - 
",000,False,000,False,False,False,1,385
"### | [ص: 54]
",000,False,000,False,False,False,1,598
"### | [ص: 55]
",000,False,000,False,False,False,1,186
"### | 14 - 
",000,False,000,False,False,False,1,319
"### | 15 - 
",000,False,000,False,False,False,1,81
"### | [ص: 56]
",000,False,000,False,False,False,1,205
"### | 16 - 
",000,False,000,False,False,False,1,122
"### | 17 - 
",000,False,000,False,False,False,1,177
"### | [ص: 57]
",000,False,000,False,False,False,1,15
"### | 18 - 
",000,False,000,False,False,False,1,377
"### | 19 - 
",000,False,000,False,False,False,1,203
"### | [ص: 58]
",000,False,000,False,False,False,1,479
"### | [ص: 59]
",000,False,000,False,False,False,1,451
"### | 20 - 
",000,False,000,False,False,False,1,135
"### | [ص: 60]
",000,False,000,False,False,False,1,271
"### | 21 - 
",000,False,000,False,False,False,1,189
"### | 22 - 
",000,False,000,False,False,False,1,52
"### | [ص: 61]
",000,False,000,False,False,False,1,298
"### | 23 - 
",000,False,000,False,False,False,1,313
"### | [ص: 62]
",000,False,000,False,False,False,1,92
"### | 24 - 
",000,False,000,False,False,False,1,456
"### | [ص: 63]
",000,False,000,False,False,False,1,498
"### | 26 - 
",000,False,000,False,False,False,1,53
"### | [ص: 64]
",000,False,000,False,False,False,1,329
"### | 27 - 
",000,False,000,False,False,False,1,220
"### | [ص: 65]
",000,False,000,False,False,False,1,555
"### | [ص: 66]
",000,False,000,False,False,False,1,158
"### | 29 - 
",000,False,000,False,False,False,1,445
"### | [ص: 67]
",000,False,000,False,False,False,1,188
"### | 30 - 
",000,False,000,False,False,False,1,258
"### | 31 - 
",000,False,000,False,False,False,1,88
"### | [ص: 68]
",000,False,000,False,False,False,1,73
"### | 32 - 
",000,False,000,False,False,False,1,313
"### | 33 - 
",000,False,000,False,False,False,1,172
"### | [ص: 69]
",000,False,000,False,False,False,1,103
"### | 34 - 
",000,False,000,False,False,False,1,229
"### | 35 - 
",000,False,000,False,False,False,1,212
"### | [ص: 70]
",000,False,000,False,False,False,1,267
"### | 36 - 
",000,False,000,False,False,False,1,186
"### | 37 - 
",000,False,000,False,False,False,1,110
"### | [ص: 71]
",000,False,000,False,False,False,1,131
"### | 38 - 
",000,False,000,False,False,False,1,211
"### | 39 - 
",000,False,000,False,False,False,1,264
"### | [ص: 72]
",000,False,000,False,False,False,1,200
"### | 40 - 
",000,False,000,False,False,False,1,441
"### | [ص: 73]
",000,False,000,False,False,False,1,49
"### | 41 - 
",000,False,000,False,False,False,1,213
"### | 42 - 
",000,False,000,False,False,False,1,120
"### | 43 - 
",000,False,000,False,False,False,1,154
"### | [ص: 74]
",000,False,000,False,False,False,1,56
"### | 44 - 
",000,False,000,False,False,False,1,258
"### | 45 - 
",000,False,000,False,False,False,1,203
"### | 46 - 
",000,False,000,False,False,False,1,33
"### | [ص: 75]
",000,False,000,False,False,False,1,360
"### | 47 - 
",000,False,000,False,False,False,1,161
"### | 48 - 
",000,False,000,False,False,False,1,28
"### | [ص: 76]
",000,False,000,False,False,False,1,264
"### | 49 - 
",000,False,000,False,False,False,1,312
"### | [ص: 77]
",000,False,000,False,False,False,1,50
"### | 50 - 
",000,False,000,False,False,False,1,216
"### | 51 - 
",000,False,000,False,False,False,1,302
"### | [ص: 78]
",000,False,000,False,False,False,1,60
"### | 52 - 
",000,False,000,False,False,False,1,533
"### | [ص: 79]
",000,False,000,False,False,False,1,179
"### | 53 - 
",000,False,000,False,False,False,1,296
"### | 54 - 
",000,False,000,False,False,False,1,97
"### | [ص: 80]
",000,False,000,False,False,False,1,155
"### | 55 - 
",000,False,000,False,False,False,1,317
"### | 56 - 
",000,False,000,False,False,False,1,89
"### | [ص: 81]
",000,False,000,False,False,False,1,209
"### | 57 - 
",000,False,000,False,False,False,1,340
"### | [ص: 82]
",000,False,000,False,False,False,1,219
"### | 58 - 
",000,False,000,False,False,False,1,323
"### | [ص: 83]
",000,False,000,False,False,False,1,364
"### | 59 - 
",000,False,000,False,False,False,1,195
"### | [ص: 84]
",000,False,000,False,False,False,1,94
"### | 60 - 
",000,False,000,False,False,False,1,192
"### | 61 - 
",000,False,000,False,False,False,1,145
"### | 62 - 
",000,False,000,False,False,False,1,114
"### | [ص: 85]
",000,False,000,False,False,False,1,390
"### | 63 - 
",000,False,000,False,False,False,1,182
"### | [ص: 86]
",000,False,000,False,False,False,1,66
"### | 64 - 
",000,False,000,False,False,False,1,461
"### | 65 - 
",000,False,000,False,False,False,1,47
"### | [ص: 87]
",000,False,000,False,False,False,1,511
"### | 66 - 
",000,False,000,False,False,False,1,25
"### | [ص: 88]
",000,False,000,False,False,False,1,337
"### | 67 - 
",000,False,000,False,False,False,1,128
"### | 68 - 
",000,False,000,False,False,False,1,52
"### | [ص: 89]
",000,False,000,False,False,False,1,383
