string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [السيرة الحلبية = إنسان العيون في سيرة الأمين المأمون]
",000,False,000,False,False,False,1,40
"### | الجزء الأول
",000,False,000,False,False,False,1,10
"### | تقديم
",000,False,000,False,False,False,1,235
"### | [المقدمة]
",000,False,000,False,False,False,1,724
"### | باب: نسبه الشريف صلى الله عليه وسلم
",000,False,000,False,False,False,1,14698
"### | باب: تزويج عبد الله أبي النبي صلى الله عليه وسلم آمنة أمه صلى الله عليه وسلم وحفر زمزم وما يتعلق بذلك
",000,False,000,False,False,False,1,7765
"### | باب ذكر حمل أمه به صلى الله عليه وسلم وعلى جميع الأنبياء والمرسلين
",000,False,000,False,False,False,1,1951
"### | باب وفاة والده صلى الله عليه وسلم
",000,False,000,False,False,False,1,1859
"### | باب ذكر مولده صلى الله عليه وسلم وشرف وكرم
",000,False,000,False,False,False,1,13508
"### | باب: تسميته صلى الله عليه وسلم محمدا وأحمدا
",000,False,000,False,False,False,1,3247
"### | باب ذكر رضاعه صلى الله عليه وسلم وما اتصل به
",000,False,000,False,False,False,1,11215
"### | باب: وفاة أمه صلى الله عليه وسلم وحضانة أم أيمن له وكفالة جده عبد المطلب له
",000,False,000,False,False,False,1,3571
"### | ............ 
",000,False,000,False,False,False,1,12
"### | ............... 
",000,False,000,False,False,False,1,14
"### | .............. 
",000,False,000,False,False,False,1,6
"### | ............ 
",000,False,000,False,False,False,1,485
"### | باب: وفاة عبد المطلب وكفالة عمه أبي طالب له صلى ms0213 الله عليه وسلم
",000,False,000,False,False,False,1,2387
"### | باب: ذكر سفره صلى الله عليه وسلم مع عمه أبي طالب إلى الشام
",000,False,000,False,False,False,1,2710
"### | باب: ما حفظه الله تعالى به في صغره صلى الله عليه وسلم من أمر الجاهلية
",000,False,000,False,False,False,1,2043
"### | باب: رعيته صلى الله عليه وسلم الغنم
",000,False,000,False,False,False,1,719
"### | باب: حضوره صلى الله عليه وسلم حرب الفجار
",000,False,000,False,False,False,1,1161
"### | باب: شهوده صلى الله عليه وسلم حلف الفضول
",000,False,000,False,False,False,1,1649
"### | باب: سفره صلى الله عليه وسلم إلى الشام ثانيا
",000,False,000,False,False,False,1,2538
"### | باب: تزوجه صلى الله عليه وسلم خديجة بنت خويلد رضي الله عنها ابن أسد بن عبد العزى بن قصي
",000,False,000,False,False,False,1,1986
"### | باب: بنيان قريش الكعبة شرفها الله تعالى
",000,False,000,False,False,False,1,22460
