string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,395
"### | باب الهمزة (1)
",000,False,000,False,False,False,1,25179
"### | "" باب الباء ""
",000,False,000,False,False,False,1,4973
"### | "" باب التاء ""(1)
",000,False,000,False,False,False,1,373
"### | "" باب الثاء ""
",000,False,000,False,False,False,1,1373
"### | "" باب الجيم ""
",000,False,000,False,False,False,1,6946
"### | [باب الحاء]
",000,False,000,False,False,False,1,23224
"### | باب الخاء
",000,False,000,False,False,False,1,2759
"### | باب الدال
",000,False,000,False,False,False,1,2529
"### | باب الذال
",000,False,000,False,False,False,1,88
"### | باب الراء
",000,False,000,False,False,False,1,2299
"### | باب الزاي
",000,False,000,False,False,False,1,4914
"### | باب السين
",000,False,000,False,False,False,1,11411
"### | باب الشين
",000,False,000,False,False,False,1,1294
"### | باب الصاد
",000,False,000,False,False,False,1,2796
"### | باب الضاد
",000,False,000,False,False,False,1,406
"### | باب الطاء
",000,False,000,False,False,False,1,550
"### | باب الظاء
",000,False,000,False,False,False,1,439
"### | باب العين
",000,False,000,False,False,False,1,46510
"### | باب الغين
",000,False,000,False,False,False,1,526
"### | باب الفاء
",000,False,000,False,False,False,1,2731
"### | باب القاف
",000,False,000,False,False,False,1,3308
"### | باب الكاف
",000,False,000,False,False,False,1,1155
"### | باب اللام ms0449
",000,False,000,False,False,False,1,564
"### | باب الميم
",000,False,000,False,False,False,1,43641
"### | باب النون
",000,False,000,False,False,False,1,1931
"### | باب الواو
",000,False,000,False,False,False,1,1192
"### | باب الهاء
",000,False,000,False,False,False,1,2754
"### | باب الياء
",000,False,000,False,False,False,1,6544
"### | باب الكنى
",000,False,000,False,False,False,1,12161
"### | باب الألقاب والنسب
",000,False,000,False,False,False,1,2553
"### | باب النساء
",000,False,000,False,False,False,1,1105
"### | الخاتمة 
",000,False,000,False,False,False,1,190190
"### || - [الفائدة] الأولى:
",000,False,000,False,False,False,2,208
"### || الفائدة الثانية
",000,False,000,False,False,False,2,808
"### || الفائدة الثالثة
",000,False,000,False,False,False,2,203
"### || الفائدة الرابعة...
",000,False,000,False,False,False,2,4787
"### ||| وما أورد بالكنى:
",000,False,000,False,False,False,3,305
"### || الفائدة الخامسة
",000,False,000,False,False,False,2,90
