string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,156
"### | أنواع التوحيد
",000,False,000,False,False,False,1,90
"### | 2 - 
",000,False,000,False,False,False,1,5
"### | 3 - 
",000,False,000,False,False,False,1,361
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,1
"### | في تحريم مجالسة الأحداث والنسوان
",000,False,000,False,False,False,1,10
"### | ومعاشرتهم والنظر إليهم
",000,False,000,False,False,False,1,23
"### | العين رأس الحواس الموردة للخواطر:
",000,False,000,False,False,False,1,606
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,1
"### | كيف ندرك المجتهدين ونسبق المسرعين
",000,False,000,False,False,False,1,10
"### | نصيحة شيخ مجرب!
",000,False,000,False,False,False,1,472
"### | فصل
",000,False,000,False,False,False,1,2
"### | في أبواب المعاصي
",000,False,000,False,False,False,1,6
"### | ابن القيم يصف الداء والدواء:
",000,False,000,False,False,False,1,521
"### | اختر كلماتك جيدا:
",000,False,000,False,False,False,1,75
"### | اللسان يكشف عما في القلب!:
",000,False,000,False,False,False,1,47
"### | مدخل الاستقامة:
",000,False,000,False,False,False,1,22
"### | مفتاح دخول النار:
",000,False,000,False,False,False,1,188
"### | خصال اللسان المحمودة:
",000,False,000,False,False,False,1,108
"### | في ترك الفضول توفيق للحكمة:
",000,False,000,False,False,False,1,104
"### | الاستعانة بنعم الله على معاصيه غاية الكفران:
",000,False,000,False,False,False,1,53
"### | اعمل ليوم تشهد عليك أعضاؤك:
",000,False,000,False,False,False,1,90
"### | آداب كل جارحة منها:
",000,False,000,False,False,False,1,234
"### | رياض المسك جزاء من نزه نفسه وسمعه عن مجالس اللهو:
",000,False,000,False,False,False,1,49
"### | وآداب اللسان:
",000,False,000,False,False,False,1,104
"### | لمن تكفل الله بالجنة:
",000,False,000,False,False,False,1,67
"### | إياك واللعن:
",000,False,000,False,False,False,1,186
"### | الفخر بالآباء:
",000,False,000,False,False,False,1,112
"### | الآثار الناجمة عن الشبع:
",000,False,000,False,False,False,1,150
"### | بم نتمكن من حفظ الفرج؟:
",000,False,000,False,False,False,1,108
