string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,734
"### | كتاب الطهارة
",000,False,000,False,False,False,1,4
"### | باب المياه
",000,False,000,False,False,False,1,1833
"### | باب الآنية
",000,False,000,False,False,False,1,1097
"### | باب الاستنجاء
",000,False,000,False,False,False,1,994
"### | باب السواك وسنية الوضوء
",000,False,000,False,False,False,1,1054
"### | باب فروض الوضوء وصفته
",000,False,000,False,False,False,1,1653
"### | باب المسح على الخفين
",000,False,000,False,False,False,1,1685
"### | باب نواقض الوضوء
",000,False,000,False,False,False,1,1274
"### | باب الغسل
",000,False,000,False,False,False,1,3997
"### | باب التيمم
",000,False,000,False,False,False,1,229
"### | باب إزالة النجاسة
",000,False,000,False,False,False,1,1155
"### | باب الحيض
",000,False,000,False,False,False,1,1370
"### | 
",000,False,000,False,False,False,1,0
"### | كتاب الصلاة
",000,False,000,False,False,False,1,436
"### | باب الأذان والإقامة
",000,False,000,False,False,False,1,1688
"### | باب شروط الصلاة
",000,False,000,False,False,False,1,1186
"### | باب ستر العورة
",000,False,000,False,False,False,1,805
"### | باب اجتناب النجاسات
",000,False,000,False,False,False,1,382
"### | باب استقبال القبلة
",000,False,000,False,False,False,1,149
"### | باب النية
",000,False,000,False,False,False,1,380
"### | باب صفة الصلاة
",000,False,000,False,False,False,1,5814
"### | باب سجود السهو
",000,False,000,False,False,False,1,2091
"### | باب صلاة التطوع
",000,False,000,False,False,False,1,2996
"### | باب صلاة الجماعة
",000,False,000,False,False,False,1,1551
"### | باب صلاة أهل الأعذار
",000,False,000,False,False,False,1,3179
"### | باب صلاة الجمعة
",000,False,000,False,False,False,1,2644
"### | باب صلاة العيدين
",000,False,000,False,False,False,1,1194
"### | باب صلاة الكسوف
",000,False,000,False,False,False,1,126
"### | باب صلاة الاستسقاء
",000,False,000,False,False,False,1,566
"### | كتاب الجنائز
",000,False,000,False,False,False,1,3750
"### | كتاب الزكاة
",000,False,000,False,False,False,1,1101
"### | باب زكاة بهيمة الأنعام
",000,False,000,False,False,False,1,1065
"### | باب زكاة الخارج من الأرض
",000,False,000,False,False,False,1,290
"### | باب زكاة الأثمان
",000,False,000,False,False,False,1,405
"### | باب زكاة العروض
",000,False,000,False,False,False,1,124
"### | باب ms181 زكاة الفطر
",000,False,000,False,False,False,1,308
"### | باب إخراج الزكاة
",000,False,000,False,False,False,1,236
"### | باب أهل الزكاة
",000,False,000,False,False,False,1,1878
"### | كتاب الصيام
",000,False,000,False,False,False,1,992
"### | باب ما يفسد الصوم ويوجب الكفارة
",000,False,000,False,False,False,1,577
"### | باب ما يكره ويستحب، وحكم القضاء
",000,False,000,False,False,False,1,415
"### | باب صوم التطوع
",000,False,000,False,False,False,1,545
