string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,632
"### | [فائدة الفرق بين الاسم والمسمى]
",000,False,000,False,False,False,1,3731
"### | [لم يؤلف الإمام أحمد كتابا في الفقه]
",000,False,000,False,False,False,1,169
"### | [فائدة الترجيح إذا اختلف بين الأصحاب الحنابلة]
",000,False,000,False,False,False,1,60
"### | [كتاب الطهارة]
",000,False,000,False,False,False,1,4736
"### | [فصل يتطهر مريد الطهارة بما لا ينجس من الماء]
",000,False,000,False,False,False,1,717
"### | [تتمة علم نجاسة الماء الذي ms0036 توضأ منه وشك في وقت وضوئه]
",000,False,000,False,False,False,1,938
"### | [باب الآنية]
",000,False,000,False,False,False,1,388
"### | [تتمة اتخذ إناء من ذهب أو فضة وغشاه بنحاس أو رصاص]
",000,False,000,False,False,False,1,1137
"### | [تتمة دود القز وبزره ودود الطعام طاهر وكذا لعاب الأطفال]
",000,False,000,False,False,False,1,343
"### | [باب الاستنجاء وآداب التخلي]
",000,False,000,False,False,False,1,2136
"### | [فصل ما يسن لمتخل إذا فرغ من حاجته]
",000,False,000,False,False,False,1,1516
"### | [باب السواك]
",000,False,000,False,False,False,1,767
"### | [فرع منافع السواك]
",000,False,000,False,False,False,1,104
"### | [فصل ما يسن في السواك]
",000,False,000,False,False,False,1,1845
"### | [فصل في تعريف السنة]
",000,year,000,False,False,False,1,1308
"### | [باب الوضوء]
",000,False,000,False,False,False,1,1263
"### | [فصل يشترط لوضوء دخول وقت من حدثه دائم]
",000,False,000,False,False,False,1,1611
"### | [فصل صفة الوضوء]
",000,False,000,False,False,False,1,1731
"### | [فصل ما يقوله من فرغ من وضوء وغسل]
",000,False,000,False,False,False,1,813
"### | [تتمة الوضوء هل هو من خصائص هذه الأمة]
",000,False,000,False,False,False,1,137
"### | [باب مسح الخفين وما في معناها كالجرموقين والجوربين]
",000,False,000,False,False,False,1,1894
"### | [فصل مدة المسح على الخفين]
",000,False,000,False,False,False,1,591
"### | [فصل انتقض بعض عمامة أو انقضت مدة مسح في المسح على العمائم والجبائر]
",000,False,000,False,False,False,1,438
"### | [باب نواقض الوضوء]
",000,False,000,False,False,False,1,2667
"### | [فصل في مسائل من الشك في الطهارة]
",000,False,000,False,False,False,1,830
"### | [فصل ما يحرم بالحدث الأكبر والأصغر]
",000,False,000,False,False,False,1,1488
"### | [باب الغسل]
",000,False,000,False,False,False,1,1248
"### | [تتمة أولج خنثى مشكل أو واضح الأنوثية ذكره في قبل أو دبر ولم ينزل]
",000,False,000,False,False,False,1,932
"### | [فصل يحرم على من عليه غسل من جنابة أو غيرها قراءة آية فأكثر]
",000,False,000,False,False,False,1,997
"### | [فصل الأغسال المسنونة ستة عشر غسلا]
",000,False,000,False,False,False,1,615
"### | [فصل صفة الغسل واجبا كان أو مستحبا]
",000,False,000,False,False,False,1,1231
"### | [فصل نوى بغسل رفع الحدثين الأكبر والأصغر]
",000,False,000,False,False,False,1,352
"### | [فصل في مسائل من أحكام الحمام وآداب دخوله]
",000,False,000,False,False,False,1,664
"### | [باب التيمم]
",000,False,000,False,False,False,1,4314
"### | [فصل فرائض التيمم]
",000,False,000,False,False,False,1,798
"### | [فصل في مبطلات التيمم]
",000,False,000,False,False,False,1,1406
"### | [باب إزالة النجاسة الحكمية]
",000,False,000,False,False,False,1,1561
"### | [تنبيه طهر ماء كثير في إناء كبير]
",000,False,000,False,False,False,1,314
"### | [فصل في ذكر النجاسات وما يعفى عنه منها وما يتعلق بذلك]
",000,False,000,False,False,False,1,1638
"### | [باب الحيض]
",000,False,000,False,False,False,1,1516
"### | [فرع أراد وطأها فادعت حيضا وأمكن]
",000,False,000,False,False,False,1,85
"### | [فصل سن الحيض وقدره]
",000,False,000,False,False,False,1,732
"### | [فرع أحبت حائض قضاء الصلاة التي تركتها أيام حيضها]
",000,False,000,False,False,False,1,43
"### | [فصل المبتدأة بدم أو صفرة أو كدرة]
",000,False,000,False,False,False,1,968
"### | [فصل استحيضت من لها عادة جلستها]
",000,False,000,False,False,False,1,649
"### | [فرع جاوز الدم أكثر الحيض]
",000,False,000,False,False,False,1,121
"### | [فصل تغيرت عادة معتادة بزيادة]
",000,False,000,False,False,False,1,781
"### | [فصل يلزم مستحاضة وكل دائم حدث صلاة]
",000,False,000,False,False,False,1,737
"### | [فصل حرم وطء مستحاضة]
",000,False,000,False,False,False,1,264
"### | [فصل في النفاس]
",000,False,000,False,False,False,1,631
"### | [كتاب الصلاة]
",000,False,000,False,False,False,1,621
"### | [تتمة عبادات المرتد التي فعلها قبل ms0204 ردته]
",000,False,000,False,False,False,1,1334
"### | [فصل جحد وجوب الصلاة]
",000,False,000,False,False,False,1,553
"### | [خاتمة اختلف العلماء بما كفر إبليس]
",000,False,000,False,False,False,1,121
"### | [باب الآذان]
",000,False,000,False,False,False,1,2739
"### | [فصل يقدم بأذان مع تشاح بين اثنين فأكثر في الأذان]
",000,False,000,False,False,False,1,1801
"### | [فرع ما يفعله المؤذنون قبل فجر من تسبيح وتهليل]
",000,False,000,False,False,False,1,119
"### | [باب شروط الصلاة]
",000,False,000,False,False,False,1,2455
"### | [فصل يدرك الصلاة وقت بتكبيرة إحرام]
",000,False,000,False,False,False,1,752
"### | [فصل قضاء مكتوبة فائتة من الخمس مرتبا]
",000,False,000,False,False,False,1,578
"### | [فرع لا تسقط فائتة بحج]
",000,False,000,False,False,False,1,786
"### | [باب ستر العورة]
",000,False,000,False,False,False,1,2179
"### | [فصل لم يجد إلا ما يستر عورته أو منكبه فقط وأراد الصلاة]
",000,False,000,False,False,False,1,991
"### | [فصل في جملة من أحكام اللباس في الصلاة وغيرها]
",000,False,000,False,False,False,1,1992
"### | [تتمة ms0263 الصلاة بجلد السباع غير المأكولة]
",000,False,000,False,False,False,1,128
"### | [فصل حرم على ذكر وأنثى لبس ما فيه صورة حيوان]
",000,False,000,False,False,False,1,1399
"### | [باب اجتناب النجاسة والمواضع التي لا تصح فيها الصلاة]
",000,False,000,False,False,False,1,1311
"### | [فصل في المواضع التي لا تصح الصلاة فيها مطلقا]
",000,False,000,False,False,False,1,1583
"### | [فصل الصلاة في الكعبة المشرفة]
",000,False,000,False,False,False,1,709
"### | [باب استقبال القبلة]
",000,False,000,False,False,False,1,1004
"### | [فصل في بيان ما يجب استقباله وأدلة القبلة]
",000,False,000,False,False,False,1,1764
"### | [فصل لا يتبع مجتهد مجتهدا خالفه في معرفة القبلة]
",000,False,000,False,False,False,1,1135
"### | [باب النية في الصلاة وما يتعلق بها]
",000,False,000,False,False,False,1,1859
"### | [فصل يشترط لصلاة جماعة نية كل من إمام ومأموم]
",000,False,000,False,False,False,1,1359
"### | [باب صفة الصلاة وما يكره فيها وأركانها وواجباتها وسننها]
",000,False,000,False,False,False,1,1176
"### | [فصل قول مصل إماما أو غيره قائما لفرض الله أكبر]
",000,False,000,False,False,False,1,1387
"### | [فصل ما يستفتح به ندبا للصلاة]
",000,False,000,False,False,False,1,3173
