string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,94
"### | الحديث الأول
",000,False,000,False,False,False,1,1026
"### | الحديث الثالث
",000,False,000,False,False,False,1,417
"### | الحديث الرابع
",000,False,000,False,False,False,1,866
"### | الحديث الخامس
",000,False,000,False,False,False,1,835
"### | الحديث السادس
",000,False,000,False,False,False,1,263
"### | الحديث السابع
",000,False,000,False,False,False,1,399
"### | الحديث الثامن
",000,False,000,False,False,False,1,295
"### | الحديث التاسع
",000,False,000,False,False,False,1,433
"### | الحديث العاشر
",000,False,000,False,False,False,1,419
"### | الحديث الحادي عشر
",000,False,000,False,False,False,1,465
"### | الحديث الثاني عشر
",000,False,000,False,False,False,1,781
"### | الحديث الثالث عشر
",000,False,000,False,False,False,1,562
"### | الحديث الرابع عشر
",000,False,000,False,False,False,1,259
"### | الحديث الخامس عشر
",000,False,000,False,False,False,1,195
"### | الحديث السادس عشر
",000,False,000,False,False,False,1,340
"### | الحديث السابع عشر
",000,False,000,False,False,False,1,1645
"### | الحديث الثامن عشر
",000,False,000,False,False,False,1,877
"### | الحديث التاسع عشر
",000,False,000,False,False,False,1,835
"### | الحديث العشرون
",000,False,000,False,False,False,1,538
"### | الحديث الحادي والعشرين
",000,False,000,False,False,False,1,663
"### | الحديث الثاني والعشرون
",000,False,000,False,False,False,1,244
