string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (باب التخلي عند قضاء الحاجة)
",000,False,000,False,False,False,1,1857
"### | 7 - 
",000,False,000,False,False,False,1,2
"### | باب كراهية الكلام عند الخلاء
",000,False,000,False,False,False,1,262
"### | 8 - 
",000,False,000,False,False,False,1,2
"### | باب في الرجل
",000,False,000,False,False,False,1,229
"### | 9 - 
",000,False,000,False,False,False,1,112
"### | باب الخاتم
",000,False,000,False,False,False,1,3093
"### | 4 - 
",000,False,000,False,False,False,1,2
"### | باب المواضع
",000,False,000,False,False,False,1,1903
"### | باب ما ينهى عنه)
",000,False,000,False,False,False,1,3939
"### | باب في الرجل)
",000,False,000,False,False,False,1,315
"### | 29 - 
",000,False,000,False,False,False,1,2
"### | 
",000,False,000,False,False,False,1,0
"### | (باب السواك 
",000,False,000,False,False,False,1,837
"### | باب السواك
",000,False,000,False,False,False,1,11272
"### | (باب ما جاء في بئر بضاعة)
",000,False,000,False,False,False,1,4650
"### | باب النهي عن ذلك)
",000,False,000,False,False,False,1,4788
"### | باب في إسباغ الوضوء في إتمامه بحيث لا يترك شيء من فرائضه وسننه)
",000,False,000,False,False,False,1,1404
"### | 49 - 
",000,False,000,False,False,False,1,2
"### | باب في الرجل
",000,False,000,False,False,False,1,11928
"### | 4 - 
",000,False,000,False,False,False,1,2028
"### | باب تخليل اللحية)
",000,False,000,False,False,False,1,2195
"### | 8 - 
",000,False,000,False,False,False,1,2
"### | باب غسل الرجل
",000,False,000,False,False,False,1,2220
"### | باب التوقيت في المسح)
",000,False,000,False,False,False,1,3409
"### | 3 - 
",000,False,000,False,False,False,1,6183
"### | باب الوضوء من مس الذكر)
",000,False,000,False,False,False,1,6563
"### | باب في الوضوء من النوم من قليله وكثيره)
",000,False,000,False,False,False,1,2778
"### | 1 - 
",000,False,000,False,False,False,1,2
"### | باب الرجل يطأ الأذى برجله
",000,False,000,False,False,False,1,4787
"### | باب الجنب يؤخر الغسل)
",000,False,000,False,False,False,1,10726
"### | باب المرأة هل تنقض شعرها عند الغسل)
",000,False,000,False,False,False,1,2718
"### | باب في الجنب يغسل رأسه بالخطمي)
",000,False,000,False,False,False,1,230
"### | باب فيما يفيض بفتح أوله من باب ضرب أي يسيل)
",000,False,000,False,False,False,1,8071
"### | باب ما روى أن المستحاضة تغتسل لكل صلاة)
",000,False,000,False,False,False,1,1273
"### | باب من قال تغتسل من طهر إلى طهر بالإهمال)
",000,False,000,False,False,False,1,870
"### | باب من قال تغتسل كل يوم مرة ولم يقل عند الظهر فتغتسل كل يوم أي وقت 
",000,False,000,False,False,False,1,135
"### | باب من قال توضأ لكل صلاة بعد أن تغتسل مرة واحدة عند الطهر)
",000,False,000,False,False,False,1,678
"### | باب ما جاء في وقت النفساء)
",000,False,000,False,False,False,1,9401
"### | باب الرجل يسلم)
",000,False,000,False,False,False,1,4900
"### | باب الأذى يصيب النعل)
",000,False,000,False,False,False,1,790
"### | كتاب الصلاة 
",000,False,000,False,False,False,1,659
"### | باب في المواقيت)
",000,False,000,False,False,False,1,2500
"### | باب وقت صلاة النبي صلى الله عليه وسلم)
",000,False,000,False,False,False,1,599
"### | باب وقت صلاة الظهر)
",000,False,000,False,False,False,1,1181
"### | باب وقت العصر)
",000,False,000,False,False,False,1,1705
"### | باب وقت المغرب)
",000,False,000,False,False,False,1,202
"### | باب وقت العشاء اخرة
",000,False,000,False,False,False,1,389
"### | باب وقت الصبح)
",000,False,000,False,False,False,1,354
"### | باب المحافظة على الصلوات)
",000,False,000,False,False,False,1,664
"### | باب إذا أخر امام الصلاة عن الوقت)
",000,False,000,False,False,False,1,873
"### | باب في من نام عن صلاة أو نسيها)
",000,False,000,False,False,False,1,4272
"### | 4 - 
",000,False,000,False,False,False,1,2
"### | باب في حصى المسجد
",000,False,000,False,False,False,1,1430
"### | باب في كراهية إنشاد الضالة في المسجد)
",000,False,000,False,False,False,1,4597
"### | 4 - 
",000,False,000,False,False,False,1,10691
"### | باب رفع الصوت بالأذان)
",000,False,000,False,False,False,1,1786
"### | 33 - 
",000,False,000,False,False,False,1,2
"### | باب المؤذن يستدير في أذنه
",000,False,000,False,False,False,1,1039
"### | باب في الدعاء بين الأذان والإقامة)
",000,False,000,False,False,False,1,2171
"### | باب في الأذان قبل دخول الوقت)
",000,False,000,False,False,False,1,6472
"### | باب ما جاء في الهدي في المشي إلى الصلاة)
",000,False,000,False,False,False,1,3783
"### | 9 - 
",000,False,000,False,False,False,1,2
"### | باب في كراهية التدافع
",000,False,000,False,False,False,1,101
"### | باب من أحق بالإمامة)
",000,False,000,False,False,False,1,2430
"### | 62 - 
",000,False,000,False,False,False,1,2
"### | باب الرجل يؤم القوم وهم له كارهون
",000,False,000,False,False,False,1,2978
"### | باب إذا كانوا ثلاثة كيف يقومون)
",000,False,000,False,False,False,1,2356
"### | 7 - 
",000,False,000,False,False,False,1,2
"### | باب جماع أثواب ما يصلي فيه
",000,False,000,False,False,False,1,725
"### | باب الرجل يصلي في قميص واحد)
",000,False,000,False,False,False,1,146
"### | 81 - 
",000,False,000,False,False,False,1,2
"### | باب إذا كان الثوب ضيقا يتزر به
",000,False,000,False,False,False,1,3211
"### | باب الصلاة على الخمرة)
",000,False,000,False,False,False,1,319
"### | 1 - 
",000,False,000,False,False,False,1,2
"### | باب الصلاة على الحصير
",000,False,000,False,False,False,1,500
"### | كتاب الصفوف
",000,False,000,False,False,False,1,4
"### | باب تسوية الصفوف)
",000,False,000,False,False,False,1,1292
"### | باب الصفوف بين السواري)
",000,False,000,False,False,False,1,260
"### | باب من يستحب أن يلي الإمام في الصف وكراهية التأخير)
",000,False,000,False,False,False,1,289
"### | باب مقام الصبيان من الصف)
",000,False,000,False,False,False,1,182
"### | باب صف النساء والتأخر عن الصف الأول)
",000,False,000,False,False,False,1,217
"### | باب مقام الامام في الصف
",000,False,000,False,False,False,1,21
"### | باب الرجل يصلي وحده خلف الصف)
",000,False,000,False,False,False,1,514
"### | باب الرجل يركع دون الصف)
",000,False,000,False,False,False,1,406
"### | كتاب السترة
",000,False,000,False,False,False,1,4
"### | باب ما يستر المصلي)
",000,False,000,False,False,False,1,360
"### | باب الخط إذا لم يجد عصا)
",000,False,000,False,False,False,1,492
"### | باب الصلاة إلى الراحلة)
",000,False,000,False,False,False,1,147
"### | باب إذا صلى إلى سارية)
",000,False,000,False,False,False,1,186
"### | 5 - 
",000,False,000,False,False,False,1,2
"### | باب الصلاة إلى المتحدثين
",000,False,000,False,False,False,1,598
"### | باب ما يؤمر المصلي أن يدرأ)
",000,False,000,False,False,False,1,287
"### | باب ما ينهى عنه من المرور بين يدي المصلي)
",000,False,000,False,False,False,1,255
"### | كتاب ما يقطع الصلاة وما لا يقطعها
",000,False,000,False,False,False,1,9
"### | باب ما يقطع الصلاة)
",000,False,000,False,False,False,1,585
"### | باب السترة الإمام سترة من خلفه)
",000,False,000,False,False,False,1,153
"### | باب من قال المرأة لا تقطع الصلاة
",000,False,000,False,False,False,1,404
"### | باب من قال الحمار لا يقطع الصلاة)
",000,False,000,False,False,False,1,267
"### | باب من قال الكلب لا يقطع الصلاة)
",000,False,000,False,False,False,1,106
"### | باب من قال لا يقطع الصلاة شيء)
",000,False,000,False,False,False,1,280
"### | كتاب استفتاح الصلاة
",000,False,000,False,False,False,1,5
