string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | CHECK 1
",000,False,000,False,False,False,1,2
"### | CHECK الفاتحة
",000,False,000,False,False,False,1,802
"### || CHECK 2
",000,False,000,False,False,False,2,196
"### || CHECK 3
",000,False,000,False,False,False,2,114
"### || CHECK 4
",000,False,000,False,False,False,2,50
"### || CHECK 5
",000,False,000,False,False,False,2,145
"### || CHECK 6
",000,False,000,False,False,False,2,44
"### || CHECK 7
",000,False,000,False,False,False,2,104
"### | AUTO البقرة
",000,False,000,False,False,False,1,103934
"### || CHECK 2
",000,False,000,False,False,False,2,183
"### || CHECK 3
",000,False,000,False,False,False,2,199
"### || CHECK 4
",000,False,000,False,False,False,2,138
"### || CHECK 5
",000,False,000,False,False,False,2,107
"### || CHECK 6
",000,False,000,False,False,False,2,79
"### || CHECK 7
",000,False,000,False,False,False,2,240
"### || CHECK 8
",000,False,000,False,False,False,2,161
"### || CHECK 9
",000,False,000,False,False,False,2,309
"### || CHECK 10
",000,False,000,False,False,False,2,217
"### || CHECK 11
",000,False,000,False,False,False,2,191
"### || CHECK 12
",000,False,000,False,False,False,2,96
"### || CHECK 13
",000,False,000,False,False,False,2,228
"### || CHECK 14
",000,False,000,False,False,False,2,391
"### || CHECK 15
",000,False,000,False,False,False,2,96
"### || CHECK 16
",000,False,000,False,False,False,2,194
"### || CHECK 17
",000,False,000,False,False,False,2,220
"### || CHECK 18
",000,False,000,False,False,False,2,57
"### || CHECK 19
",000,False,000,False,False,False,2,663
"### || CHECK 20
",000,False,000,False,False,False,2,400
"### || CHECK 21
",000,False,000,False,False,False,2,479
"### || CHECK 22
",000,False,000,False,False,False,2,359
"### || CHECK 23
",000,False,000,False,False,False,2,283
"### || CHECK 24
",000,False,000,False,False,False,2,283
"### || CHECK 25
",000,False,000,False,False,False,2,1507
"### || CHECK 27
",000,False,000,False,False,False,2,353
"### || CHECK 28
",000,False,000,False,False,False,2,143
"### || CHECK 29
",000,False,000,False,False,False,2,392
"### || CHECK 30
",000,False,000,False,False,False,2,509
"### || CHECK 31
",000,False,000,False,False,False,2,406
"### || CHECK 33
",000,False,000,False,False,False,2,335
"### || CHECK 34
",000,False,000,False,False,False,2,921
"### || CHECK 36
",000,False,000,False,False,False,2,452
"### || CHECK 37
",000,False,000,False,False,False,2,582
"### || CHECK 38
",000,False,000,False,False,False,2,344
"### || CHECK 39
",000,False,000,False,False,False,2,389
"### || CHECK 41
",000,False,000,False,False,False,2,330
"### || CHECK 42
",000,False,000,False,False,False,2,118
"### || CHECK 43
",000,False,000,False,False,False,2,158
"### || CHECK 44
",000,False,000,False,False,False,2,180
"### || CHECK 45
",000,False,000,False,False,False,2,360
"### || CHECK 46
",000,False,000,False,False,False,2,65
"### || CHECK 47
",000,False,000,False,False,False,2,139
"### || CHECK 48
",000,False,000,False,False,False,2,169
"### || CHECK 49
",000,False,000,False,False,False,2,395
"### || CHECK 50
",000,False,000,False,False,False,2,340
"### || CHECK 51
",000,False,000,False,False,False,2,317
"### || CHECK 52
",000,False,000,False,False,False,2,94
"### || CHECK 53
",000,False,000,False,False,False,2,177
"### || CHECK 54
",000,False,000,False,False,False,2,452
"### || CHECK 55
",000,False,000,False,False,False,2,278
"### || CHECK 56
",000,False,000,False,False,False,2,115
"### || CHECK 57
",000,False,000,False,False,False,2,526
"### || CHECK 58
",000,False,000,False,False,False,2,436
"### || CHECK 59
",000,False,000,False,False,False,2,154
"### || CHECK 60
",000,False,000,False,False,False,2,506
"### || CHECK 61
",000,False,000,False,False,False,2,840
"### || CHECK 62
",000,False,000,False,False,False,2,517
"### || CHECK 63
",000,False,000,False,False,False,2,446
"### || CHECK 65
",000,False,000,False,False,False,2,531
"### || CHECK 67
",000,False,000,False,False,False,2,571
"### || CHECK 69
",000,False,000,False,False,False,2,145
"### || CHECK 70
",000,False,000,False,False,False,2,149
"### || CHECK 71
",000,False,000,False,False,False,2,406
"### || CHECK 72
",000,False,000,False,False,False,2,90
"### || CHECK 73
",000,False,000,False,False,False,2,618
"### || CHECK 75
",000,False,000,False,False,False,2,285
"### || CHECK 76
",000,False,000,False,False,False,2,462
"### || CHECK 78
",000,False,000,False,False,False,2,216
"### || CHECK 79
",000,False,000,False,False,False,2,163
"### || CHECK 80
",000,False,000,False,False,False,2,288
"### || CHECK 81
",000,False,000,False,False,False,2,243
"### || CHECK 82
",000,False,000,False,False,False,2,69
"### || CHECK 83
",000,False,000,False,False,False,2,622
"### || CHECK 85
",000,False,000,False,False,False,2,472
"### || CHECK 86
",000,False,000,False,False,False,2,42
"### || CHECK 87
",000,False,000,False,False,False,2,652
"### || CHECK 88
",000,False,000,False,False,False,2,283
"### || CHECK 89
",000,False,000,False,False,False,2,376
"### || CHECK 90
",000,False,000,False,False,False,2,237
"### || CHECK 91
",000,False,000,False,False,False,2,287
"### || CHECK 92
",000,False,000,False,False,False,2,194
"### || CHECK 93
",000,False,000,False,False,False,2,368
