string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [شعراء النصرانية]
",000,False,000,False,False,False,1,42
"### | شعراء النصرانية قبل الإسلام
",000,False,000,False,False,False,1,10
"### | القسم الأول
",000,False,000,False,False,False,1,4
"### | شعراء اليمن (كندة)
",000,False,000,False,False,False,1,6
"### | أعمام امرئ القيس (548م)
",000,False,000,False,False,False,1,1147
"### | امرؤ القيس (565م)
",000,False,000,False,False,False,1,10274
"### | شعراء اليمن (مذحج)
",000,False,000,False,False,False,1,6
"### | الأفوه الأودي (570م)
",000,False,000,False,False,False,1,796
"### | عبد يغوث (580م)
",000,False,000,False,False,False,1,1279
"### | شعراء اليمن (مدحج)
",000,False,000,False,False,False,1,6
"### | يزيد بن عبد المدان (615م)
",000,False,000,False,False,False,1,2369
"### | حنظلة الطائي (590م)
",000,False,000,False,False,False,1,832
"### | قبيصة بن النصراني (592م)
",000,False,000,False,False,False,1,308
"### | شعراء اليمن (طي)
",000,False,000,False,False,False,1,6
"### | حاتم الطائي (605م)
",000,False,000,False,False,False,1,8384
"### | إياس بن قبيصة (612 م)
",000,False,000,False,False,False,1,837
"### | القسم الثاني
",000,False,000,False,False,False,1,14
"### | شعراء نجد والحجاز (ربيعة)
",000,False,000,False,False,False,1,8
"### | البراق (470 م)
",000,False,000,False,False,False,1,1604
"### | ليلى العفيفة (483م)
",000,False,000,False,False,False,1,568
"### | كليب بن ربيعة (494م)
",000,False,000,False,False,False,1,2293
"### | المهلهل أخو كليب (531 م)
",000,False,000,False,False,False,1,4198
"### | شعراء نجد والحجاز (تغلب)
",000,False,000,False,False,False,1,8
"### | السفاح التغلبي (555م)
",000,False,000,False,False,False,1,335
"### | الأخنس ms121 بن شهاب (556 م)
",000,False,000,False,False,False,1,348
"### | جابر بن حني التغلبي
",000,False,000,False,False,False,1,430
"### | أفنون (567م)
",000,False,000,False,False,False,1,400
"### | عميرة بن جعيل
",000,False,000,False,False,False,1,6
"### | عميرة التغلبي (568 م)
",000,False,000,False,False,False,1,207
"### | عمرو بن كلثوم (600م)
",000,False,000,False,False,False,1,1933
"### | زهير بن جناب الكلبي (560 م)
",000,False,000,False,False,False,1,1332
"### | قس بن ساعدة (600م)
",000,False,000,False,False,False,1,1395
"### | أمية بن أبي الصلت (624م)
",000,False,000,False,False,False,1,3298
"### | القسم الثالث
",000,False,000,False,False,False,1,4
"### | شعراء بكر بن وائل من بني عدنان
",000,False,000,False,False,False,1,14
"### | وشعراء عبد القيس من بني ربيعة
",000,False,000,False,False,False,1,12
"### | الفند الزماني (530م)
",000,False,000,False,False,False,1,524
"### | جساس بن مرة (534م)
",000,False,000,False,False,False,1,1187
"### | جليلة (538م)
",000,False,000,False,False,False,1,312
"### | عبد المسيح بن عسلة (592م)
",000,False,000,False,False,False,1,252
"### | بسطام بن قيس الشيباني (600م)
",000,False,000,False,False,False,1,1898
"### | شعراء بني عدنان (بكر بن وائل بنو ضبيعة وقيس بن ثعلبة)
",000,False,000,False,False,False,1,22
"### | سعد بن مالك البكري (530م)
",000,False,000,False,False,False,1,448
"### | جحدر بن ضبيعة (530م)
",000,False,000,False,False,False,1,340
"### | الحارث بن عباد (550م)
",000,False,000,False,False,False,1,2510
"### | المرقش الأكبر (552م)
",000,False,000,False,False,False,1,1745
"### | عمرو بن قميئة (560م)
",000,False,000,False,False,False,1,959
"### | طرفة (564م)
",000,False,000,False,False,False,1,4173
"### | الخرنق أخت طرفة (570م)
",000,False,000,False,False,False,1,1125
"### | المرقش الأصغر (570م)
",000,False,000,False,False,False,1,319
"### | المتلمس (580م)
",000,False,000,False,False,False,1,2498
"### | المسيب بن علس (580م)
",000,False,000,False,False,False,1,906
"### | أعشى قيس المعروف بالأعشى الأكبر (629م)
",000,False,000,False,False,False,1,7493
"### | المثقب العبدي (587م)
",000,False,000,False,False,False,1,6
"### | واسمه العائد (ويروى العائذ. والعابد) بن محصن بن ثعلبة بن وائلة بن عدي بن عوف بن حرب بن دهن بن عذرة بن منبه بن نكرة بن لكيز بن أفصى بن عبد القيس بن أفصى بن دعمي بن جديلة بن أسد بن ربيعة بن نزار. وكنيته أبو عمرو كان شاعرا من أهل العراق. وهو معدود في شعراء الطبقة الثانية. والمثقب لقب عرف به لقوله
",000,False,000,False,False,False,1,1835
"### | شعراء بني عدنان (بكر بن وائل بنو يشكر)
",000,False,000,False,False,False,1,16
"### | الحارث بن حلزة (580م)
",000,False,000,False,False,False,1,889
"### | المنخل اليشكري (597م)
",000,False,000,False,False,False,1,423
"### | سويد بن أبي كاهل اليشكري (600م)
",000,False,000,False,False,False,1,1736
"### | القسم الرابع
",000,False,000,False,False,False,1,4
"### | شعراء نجد والحجاز ms260 والعراق من تميم
",000,False,000,False,False,False,1,12
"### | ومزينة وأسد وكنانة بني الياس بن مضر
",000,False,000,False,False,False,1,14
"### | عدي بن زيد (587م)
",000,False,000,False,False,False,1,7601
"### | الأسود بن يعفر (600 م)
",000,False,000,False,False,False,1,1988
"### | سلامة بن جندل
",000,False,000,False,False,False,1,857
"### | أوس بن حجر (620 م)
",000,False,000,False,False,False,1,918
"### | .... 
",000,False,000,False,False,False,1,20
"### | علقمة الفحل (625م)
",000,False,000,False,False,False,1,2316
"### | شعراء نجد ms307 والحجاز والعراق (مزينة)
",000,False,000,False,False,False,1,10
"### | زهير بن أبي سلمى المزني
",000,False,000,False,False,False,1,8091
"### | شعراء نجد والحجاز والعراق (أسد)
",000,False,000,False,False,False,1,10
"### | عبيد بن الأبرص (555 م)
",000,False,000,False,False,False,1,2995
"### | ورقة بن نوفل 592م
",000,False,000,False,False,False,1,404
"### | زيد بن عمرو بن نفيل (620م)
",000,False,000,False,False,False,1,759
"### | القسم الخامس
",000,False,000,False,False,False,1,4
"### | شعراء نجد والحجاز والعراق من عدوان
",000,False,000,False,False,False,1,12
"### | وذبيان وغني وهوازن بني قيس
",000,False,000,False,False,False,1,10
"### | عيلان بن مضر
",000,False,000,False,False,False,1,6
"### | ذو الإصبع العدواني (602م)
",000,False,000,False,False,False,1,2639
"### | النابغة الذبياني
",000,False,000,False,False,False,1,9265
"### | الحصين بن حمام (621م)
",000,False,000,False,False,False,1,1995
"### | شعراء نجد والحجاز والعراق (غني)
",000,False,000,False,False,False,1,10
"### | كعب بن سعد الغنوي (617م)
",000,False,000,False,False,False,1,1077
"### | شعراء نجد والحجاز والعراق (هوازن)
",000,False,000,False,False,False,1,10
"### | دريد بن الصمة (603م)
",000,False,000,False,False,False,1,6887
"### | القسم السادس
",000,False,000,False,False,False,1,4
"### | شعراء نجد والحجاز والعراق
",000,False,000,False,False,False,1,8
"### | من بني عبس بن قيس عيلان بن مضر
",000,False,000,False,False,False,1,16
"### | الربيع بن زياد (590م)
",000,False,000,False,False,False,1,1403
"### | عنترة العبسي (615م)
",000,False,000,False,False,False,1,16752
