string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | صدر الخطط
",000,False,000,False,False,False,1,1248
"### | تقويم الشام
",000,False,000,False,False,False,1,2352
"### || تعريف الشام للأقدمين:
",000,False,000,False,False,False,2,256
"### || معنى الشام وجمعه:
",000,False,000,False,False,False,2,177
"### || حد الشام قديما:
",000,False,000,False,False,False,2,160
"### || حقيقة حد الشام:
",000,False,000,False,False,False,2,207
"### || حدوده مع مصر:
",000,False,000,False,False,False,2,388
"### || مساحة الشام وصورته:
",000,False,000,False,False,False,2,262
"### || مدخل الفاتحين إلى الشام:
",000,False,000,False,False,False,2,134
"### || مدن الشام وقراه:
",000,False,000,False,False,False,2,206
"### || طبيعة الشام:
",000,False,000,False,False,False,2,168
"### || خيرات الشام:
",000,False,000,False,False,False,2,114
"### || هواء الشام وماؤه:
",000,False,000,False,False,False,2,155
"### | سكان الشام
",000,False,000,False,False,False,1,4618
"### || الأمو واللودانو:
",000,False,000,False,False,False,2,547
"### || الآراميون والعناصر الأخرى:
",000,False,000,False,False,False,2,171
"### || العناصر القديمة والعرب:
",000,False,000,False,False,False,2,366
"### || دول العرب الأقدمين:
",000,False,000,False,False,False,2,117
"### || سليح وغسان والضجاعم:
",000,False,000,False,False,False,2,251
"### || التنوخيون:
",000,False,000,False,False,False,2,226
"### || المهاجرات والايطوريون:
",000,False,000,False,False,False,2,178
"### || سليح وعاملة وقضاعة:
",000,False,000,False,False,False,2,251
"### || لخم، جذام، عاملة، ذبيان، كلب:
",000,False,000,False,False,False,2,173
"### || جهينة، القين، بهراء، تنوخ:
",000,False,000,False,False,False,2,148
"### || إياد وطييء وكندة وحمير وعذرة وزبيد وهمدان ويحصب وقيس:
",000,False,000,False,False,False,2,304
"### || الفرس والزط:
",000,False,000,False,False,False,2,167
"### || الأخلاط والسامرة وجذام وعذرة ونهد وجرم والأزد:
",000,False,000,False,False,False,2,172
"### || قيس ويمن وإحصاء السكان:
",000,False,000,False,False,False,2,260
"### || المردة والجراجمة والأرمن والروم والموارنة:
",000,False,000,False,False,False,2,387
"### || التركمان والأتراك والأكراد والشركس وغيرهم:
",000,False,000,False,False,False,2,204
"### || المهاجرون والمحدثون اليهود والأرمن:
",000,False,000,False,False,False,2,253
"### || عوامل النمو:
",000,False,000,False,False,False,2,163
"### | لغات الشام
",000,False,000,False,False,False,1,3459
"### || اللغة الآرامية والسريانيية والعبرانية والفينيقية والعربية:
",000,False,000,False,False,False,2,185
"### || البابلية والكنعانية والكلدانية:
",000,False,000,False,False,False,2,146
"### || الحثية والآرية واليونانية واللاتينية:
",000,False,000,False,False,False,2,300
"### || تنازع السريانية مع العربية:
",000,False,000,False,False,False,2,177
"### || رأي رنان:
",000,False,000,False,False,False,2,125
"### || آراء أخرى:
",000,False,000,False,False,False,2,370
"### || انتشار العربية:
",000,False,000,False,False,False,2,207
"### || العربية لغة كاملة وفصاحة الشام:
",000,False,000,False,False,False,2,248
"### || كيف انتشرت العربية:
",000,False,000,False,False,False,2,166
"### || اللغة الصفوية:
",000,False,000,False,False,False,2,206
"### || الصليبيون ولغاتهم والعربية ولبنان:
",000,False,000,False,False,False,2,198
"### || اللغة التركية:
",000,False,000,False,False,False,2,321
"### || السواد الأعظم والعربية:
",000,False,000,False,False,False,2,223
"### || رسوخ اللغة:
",000,False,000,False,False,False,2,247
"### | تاريخ الشام قبل الإسلام
",000,False,000,False,False,False,1,4839
"### || أول شعب غزا الشام والحثيون والكنعانيون:
",000,False,000,False,False,False,2,419
"### || تعدد الحكام والحكومات:
",000,False,000,False,False,False,2,132
"### || الفراعنة والآشوريون:
",000,False,000,False,False,False,2,459
"### || الفينيقيون واستقلالهم التجاري:
",000,False,000,False,False,False,2,383
"### || حروب الفرس والإسكندر:
",000,False,000,False,False,False,2,264
"### || دولة السلاقسة وملك الأرمن:
",000,False,000,False,False,False,2,235
"### || دولة الرومان:
",000,False,000,False,False,False,2,299
"### || مملكة يهودا وانقراض اليهود:
",000,False,000,False,False,False,2,232
"### || الإيطوريون والنبطيون:
",000,False,000,False,False,False,2,451
"### || دولة تدمر:
",000,False,000,False,False,False,2,292
"### || زينب أو زنوبيا أو الزباء:
",000,False,000,False,False,False,2,461
