string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [فتاوى نور على الدرب]
",000,False,000,False,False,False,1,425
"### | كتاب العقيدة
",000,False,000,False,False,False,1,13
"### | 1 - 
",000,False,000,False,False,False,1,11220
"### | الفرق بين النبي والرسول
",000,False,000,False,False,False,1,1187
"### | باب فيما يتحقق به الإسلام
",000,False,000,False,False,False,1,16
"### | 33 - 
",000,False,000,False,False,False,1,1098
"### | باب ما جاء في الأسماء والصفات
",000,False,000,False,False,False,1,19
"### | 37 - 
",000,False,000,False,False,False,1,11052
"### | باب ما جاء في احترام أسماء الله تعالى
",000,False,000,False,False,False,1,25
"### | 61 - 
",000,False,000,False,False,False,1,2810
"### | باب ما جاء في الولاء والبراء
",000,False,000,False,False,False,1,19
"### | 76 - 
",000,False,000,False,False,False,1,1640
"### | باب ما جاء في أن أمة محمد صلى الله عليه وسلم هم جميع الثقلين
",000,False,000,False,False,False,1,32
"### | 83 - 
",000,False,000,False,False,False,1,3856
"### | باب ما جاء في العذر بالجهل
",000,False,000,False,False,False,1,19
"### | 94 - 
",000,False,000,False,False,False,1,4047
"### | باب ما جاء في الخوف من الشرك
",000,False,000,False,False,False,1,22
"### | 101 - 
",000,False,000,False,False,False,1,2139
"### | 107 - 
",000,False,000,False,False,False,1,3963
"### | باب ما جاء في أن لبس الحلقة أو الخيط لرفع البلاء أو دفعه شرك
",000,False,000,False,False,False,1,43
"### | 117 - 
",000,False,000,False,False,False,1,956
"### | باب ما جاء في الرقى والتمائم
",000,False,000,False,False,False,1,19
"### | 121 - 
",000,False,000,False,False,False,1,12402
"### | 1 - 
",000,False,000,False,False,False,1,4757
"### | باب ما جاء في النذر لغير الله
",000,False,000,False,False,False,1,22
"### | 15 - 
",000,False,000,False,False,False,1,5988
"### | باب ما جاء في دعاء غير الله تعالى
",000,False,000,False,False,False,1,25
"### | 26 - 
",000,False,000,False,False,False,1,4064
"### | باب ما جاء في الشفاعة
",000,False,000,False,False,False,1,16
"### | 36 - 
",000,False,000,False,False,False,1,701
"### | باب ما جاء في التوسل
",000,False,000,False,False,False,1,16
"### | 38 - 
",000,False,000,False,False,False,1,4910
"### | 46 - 
",000,False,000,False,False,False,1,2591
"### | … 
",000,False,000,False,False,False,1,62
"### | باب ما جاء في التبرك
",000,False,000,False,False,False,1,16
"### | 55 - 
",000,False,000,False,False,False,1,492
"### | 56 - 
",000,False,000,False,False,False,1,3470
"### | باب ما جاء في الغلو في قبور الصالحين
",000,False,000,False,False,False,1,25
"### | 63 - 
",000,False,000,False,False,False,1,4236
"### | ........................... 
",000,False,000,False,False,False,1,3845
"### | 74 - 
",000,False,000,False,False,False,1,25252
"### | 1 - 
",000,False,000,False,False,False,1,13232
"### | 21 - 
",000,False,000,False,False,False,1,6607
"### | باب ما جاء في الفرق والطوائف
",000,False,000,False,False,False,1,19
"### | 34 - 
",000,False,000,False,False,False,1,22041
"### | باب ما جاء في السحر
",000,False,000,False,False,False,1,16
"### | 78 - 
",000,False,000,False,False,False,1,11217
"### | باب ما جاء في الكهان ونحوهم
",000,False,000,False,False,False,1,19
"### | 102 - 
",000,False,000,False,False,False,1,6780
"### | باب ما جاء في التطير
",000,False,000,False,False,False,1,16
"### | 119 - 
",000,False,000,False,False,False,1,1618
"### | باب ما جاء في التنجيم
",000,False,000,False,False,False,1,16
"### | 1 - 
",000,False,000,False,False,False,1,857
"### | باب ما جاء في التوكل
",000,False,000,False,False,False,1,16
"### | 3 - 
",000,False,000,False,False,False,1,2077
"### | باب ما جاء في الخوف والرجاء
",000,False,000,False,False,False,1,19
"### | 9 - 
",000,False,000,False,False,False,1,1582
"### | باب ما جاء في الرياء
",000,False,000,False,False,False,1,16
"### | 15 - 
",000,False,000,False,False,False,1,2392
"### | باب ما جاء في الحلف بغير الله
",000,False,000,False,False,False,1,22
"### | 26 - 
",000,False,000,False,False,False,1,5102
"### | باب ما جاء في نواقض الإسلام
",000,False,000,False,False,False,1,19
"### | 40 - 
",000,False,000,False,False,False,1,12505
"### | باب ما جاء في الإيمان بالغيب
",000,False,000,False,False,False,1,19
"### | 66 - 
",000,False,000,False,False,False,1,2668
"### | باب ما جاء في حقيقة الإيمان
",000,False,000,False,False,False,1,19
"### | 74 - 
",000,False,000,False,False,False,1,4524
"### | باب ما جاء في القضاء والقدر
",000,False,000,False,False,False,1,19
"### | 91 - 
",000,False,000,False,False,False,1,4655
"### | باب ما جاء في أشراط الساعة
",000,False,000,False,False,False,1,19
"### | 102 - 
",000,False,000,False,False,False,1,3212
"### | باب ما جاء في المهدي المنتظر والمسيح الدجال
",000,False,000,False,False,False,1,25
"### | 107 - 
",000,False,000,False,False,False,1,1230
"### | باب ما جاء في الإيمان باليوم الآخر
",000,False,000,False,False,False,1,22
"### | 111 - 
",000,False,000,False,False,False,1,8667
"### | تنويه
",000,False,000,False,False,False,1,43
"### | كتاب الطهارة
",000,False,000,False,False,False,1,117
"### | 1 - 
",000,False,000,False,False,False,1,400
"### | 3 - 
",000,False,000,False,False,False,1,427
"### | باب دخول الخلاء ms0818
",000,False,000,False,False,False,1,596
"### | باب الاستنجاء
",000,False,000,False,False,False,1,1770
"### | باب السواك وسنن الفطرة
",000,False,000,False,False,False,1,1267
"### | باب سنن الوضوء
",000,False,000,False,False,False,1,988
"### | حكم المضمضة والاستنشاق في آن واحد
",000,False,000,False,False,False,1,1621
"### | 41 - 
",000,False,000,False,False,False,1,11407
"### | باب المسح على الخفين
",000,False,000,False,False,False,1,4416
"### | 130 - 
",000,False,000,False,False,False,1,2
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة في كيفية المسح على الجورب
",000,False,000,False,False,False,1,1041
"### | باب المسح على الجبيرة
",000,False,000,False,False,False,1,389
"### | 134 - 
",000,False,000,False,False,False,1,645
"### | 138 - 
",000,False,000,False,False,False,1,60
