string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [المعجم الصغير لرواة الإمام ابن جرير الطبري]
",000,False,000,False,False,False,1,41
"### | مقدمة فضيلة الشيخ علي الحلبي
",000,False,000,False,False,False,1,265
"### | المقدمة
",000,False,000,False,False,False,1,188
"### | 1 - 
",000,False,000,False,False,False,1,11
"### | 2 - 
",000,False,000,False,False,False,1,23
"### | 3 - 
",000,False,000,False,False,False,1,5
"### | 4 - 
",000,False,000,False,False,False,1,5
"### | أولا: وصف مخطوطة، ومطبوعات "" التفسير "" التي رجعت إليها
",000,False,000,False,False,False,1,16
"### | 1 - 
",000,False,000,False,False,False,1,34
"### | 2 - 
",000,False,000,False,False,False,1,31
"### | 3 - 
",000,False,000,False,False,False,1,37
"### | 4 - 
",000,False,000,False,False,False,1,54
"### | 5 - 
",000,False,000,False,False,False,1,46
"### | 6 - 
",000,False,000,False,False,False,1,36
"### | 7 - 
",000,False,000,False,False,False,1,37
"### | ثانيا: وصف مطبوعات "" التاريخ "" التي رجعت إليها
",000,False,000,False,False,False,1,14
"### | 1 - 
",000,False,000,False,False,False,1,23
"### | 2 - 
",000,False,000,False,False,False,1,33
"### | 3 - 
",000,False,000,False,False,False,1,27
"### | 4 - 
",000,False,000,False,False,False,1,36
"### | ثالثا: وصف مطبوعات "" تهذيب الآثار "" التي رجعت إليها
",000,False,000,False,False,False,1,16
"### | 1 - 
",000,False,000,False,False,False,1,64
"### | 2 - 
",000,False,000,False,False,False,1,77
"### | 3 - 
",000,False,000,False,False,False,1,96
"### | رابعا: وصف مطبوعة "" صريح السنة "" التي رجعت إليها
",000,year,000,False,False,False,1,197
"### | منهج الترجمة في الكتاب
",000,False,000,False,False,False,1,75
"### | أولا: التبويب والترقيم
",000,False,000,False,False,False,1,6
"### | 1 - 
",000,False,000,False,False,False,1,60
"### | 2 - 
",000,False,000,False,False,False,1,16
"### | 3 - 
",000,False,000,False,False,False,1,21
"### | 4 - 
",000,False,000,False,False,False,1,68
"### | 5 - 
",000,False,000,False,False,False,1,32
"### | ثانيا: التعريف بالراوي
",000,False,000,False,False,False,1,9
"### | 1 - 
",000,False,000,False,False,False,1,9
"### | 2 - 
",000,False,000,False,False,False,1,19
"### | 3 - 
",000,False,000,False,False,False,1,13
"### | 4 - 
",000,False,000,False,False,False,1,13
"### | 5 - 
",000,False,000,False,False,False,1,25
"### | 6 - 
",000,False,000,False,False,False,1,19
"### | 7 - 
",000,False,000,False,False,False,1,15
"### | 8 - 
",000,False,000,False,False,False,1,25
"### | 9 - 
",000,False,000,False,False,False,1,42
"### | 10 - 
",000,False,000,False,False,False,1,147
"### | ثالثا: ترتيب التراجم
",000,False,000,False,False,False,1,87
"### | رابعا: الفهارس
",000,False,000,False,False,False,1,4
"### | 1 - 
",000,False,000,False,False,False,1,80
"### | 2 - 
",000,False,000,False,False,False,1,17
"### | 3 - 
",000,False,000,False,False,False,1,26
"### | خلاصة البحث
",000,False,000,False,False,False,1,16
"### | 1 - 
",000,False,000,False,False,False,1,41
"### | 2 - 
",000,False,000,False,False,False,1,18
"### | 3 - 
",000,False,000,False,False,False,1,30
"### | 4 - 
",000,False,000,False,False,False,1,18
"### | 5 - 
",000,False,000,False,False,False,1,28
"### | 6 - 
",000,False,000,False,False,False,1,49
"### | 7 - 
",000,False,000,False,False,False,1,135
"### | 8 - 
",000,False,000,False,False,False,1,93
"### | 9 - 
",000,False,000,False,False,False,1,60
"### | 10 - 
",000,False,000,False,False,False,1,32
"### | 11 - 
",000,False,000,False,False,False,1,71
"### | كلمتان لا بد منهما
",000,False,000,False,False,False,1,8
"### | 1 - 
",000,False,000,False,False,False,1,39
"### | 2 - 
",000,False,000,False,False,False,1,685
"### | رموز كتب "" تهذيب الكمال "" و "" تهذيب التهذيب "" و "" تقريب التهذيب ""
",000,False,000,False,False,False,1,270
"### | 
",000,False,000,False,False,False,1,0
"### | [1] باب الألف
",000,False,000,False,False,False,1,9
"### | 1 - 
",000,False,000,False,False,False,1,32
"### | 2 - 
",000,False,000,False,False,False,1,17
"### | 3 - 
",000,False,000,False,False,False,1,50
"### | [1] باب الألف: من اسمه أبان
",000,False,000,False,False,False,1,12
"### | 4 - 
",000,False,000,False,False,False,1,69
"### | 5 - 
",000,False,000,False,False,False,1,24
"### | 6 - 
",000,False,000,False,False,False,1,33
"### | 7 - 
",000,False,000,False,False,False,1,31
"### | 8 - 
",000,False,000,False,False,False,1,37
"### | 9 - 
",000,False,000,False,False,False,1,30
"### | 10 - 
",000,False,000,False,False,False,1,42
"### | 11 - 
",000,False,000,False,False,False,1,47
"### | 12 - 
",000,False,000,False,False,False,1,29
"### | 13 - 
",000,False,000,False,False,False,1,21
"### | 14 - 
",000,False,000,False,False,False,1,37
"### | 15 - 
",000,False,000,False,False,False,1,33
"### | 16 - 
",000,False,000,False,False,False,1,33
"### | 17 - 
",000,False,000,False,False,False,1,29
"### | 18 - 
",000,False,000,False,False,False,1,34
"### | [1] باب الألف: من اسمه إبراهيم
",000,False,000,False,False,False,1,12
"### | 19 - 
",000,False,000,False,False,False,1,41
"### | 20 - 
",000,False,000,False,False,False,1,31
"### | 21 - 
",000,False,000,False,False,False,1,48
"### | 22 - 
",000,False,000,False,False,False,1,28
"### | 23 - 
",000,False,000,False,False,False,1,16
"### | 24 - 
",000,False,000,False,False,False,1,38
"### | 25 - 
",000,False,000,False,False,False,1,28
"### | 26 - 
",000,False,000,False,False,False,1,30
"### | 27 - 
",000,False,000,False,False,False,1,26
"### | 28 - 
",000,False,000,False,False,False,1,45
"### | 29 - 
",000,False,000,False,False,False,1,29
"### | 30 - 
",000,False,000,False,False,False,1,62
"### | 31 - 
",000,False,000,False,False,False,1,21
"### | 32 - 
",000,False,000,False,False,False,1,41
"### | 33 - 
",000,False,000,False,False,False,1,32
"### | 34 - 
",000,False,000,False,False,False,1,45
