string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO الزيدية ..قراءة في المشروع وبحث في المكونات
",000,False,000,False,False,False,1,24
"### | AUTO كلمة شكر
",000,False,000,False,False,False,1,37
"### | AUTO تصدير
",000,False,000,False,False,False,1,780
"### | AUTO المقدمة
",000,False,000,False,False,False,1,337
"### | AUTO مسوغات الاهتمام بالمدرسة الفكرية الزيدية
",000,False,000,False,False,False,1,985
"### | AUTO قلة الدراسات
",000,False,000,False,False,False,1,185
"### | AUTO التقارب الإسلامي وطرح مثل هذه القضايا
",000,False,000,False,False,False,1,598
"### | AUTO التعدد المذهبي
",000,False,000,False,False,False,1,588
"### | AUTO المشروع الفكري السياسي وفق رؤية الزيدية
",000,False,000,False,False,False,1,163
"### | AUTO البدايات
",000,False,000,False,False,False,1,716
"### | AUTO السبب الثقافي
",000,False,000,False,False,False,1,245
"### | AUTO الرؤية الكونية وصناعة الواقع
",000,False,000,False,False,False,1,1411
"### | AUTO ضرورة القرار السياسي
",000,False,000,False,False,False,1,244
"### | AUTO عناصر سلبية شائعة اليوم
",000,False,000,False,False,False,1,2326
"### | AUTO رؤية بديلة
",000,False,000,False,False,False,1,1207
"### | AUTO أولوية العقل
",000,False,000,False,False,False,1,102
"### | AUTO منهج الاستناد إلى العقل
",000,False,000,False,False,False,1,592
"### | AUTO منهج تأخير العقل
",000,False,000,False,False,False,1,372
"### | AUTO معنى شمولية الإسلام
",000,False,000,False,False,False,1,671
"### | AUTO من أبرز عناصر المنهج العقلي هي:
",000,False,000,False,False,False,1,757
"### | AUTO لوازم المنهج العقلي
",000,False,000,False,False,False,1,239
"### | AUTO الرؤية الدينية
",000,False,000,False,False,False,1,2270
"### || AUTO الأصل الأول: الإيمان بالله واليوم الآخر ...
",000,False,000,False,False,False,2,1203
"### | AUTO الاجتهاد عند الزيدية
",000,False,000,False,False,False,1,1716
"### | AUTO الزيدية والإمام زيد
",000,False,000,False,False,False,1,483
"### | AUTO الزيدية والصحابة
",000,False,000,False,False,False,1,254
"### | AUTO الزيدية والخلفاء
",000,False,000,False,False,False,1,786
"### | AUTO الزيدية والحنفية والمعتزلة
",000,False,000,False,False,False,1,1457
"### | AUTO استعمالات كلمة ""زيدية"" في المراجع والمصادر
",000,False,000,False,False,False,1,284
"### | AUTO فرق الزيدية
",000,False,000,False,False,False,1,996
"### | AUTO أهل البيت عليهم السلام
",000,False,000,False,False,False,1,1453
"### | AUTO العصمة
",000,False,000,False,False,False,1,278
"### | AUTO المهدي عند الزيدية
",000,False,000,False,False,False,1,260
"### | AUTO الإمامة
",000,False,000,False,False,False,1,999
"### | AUTO صفات الإمام الذي تجب طاعته
",000,False,000,False,False,False,1,230
"### | AUTO دعوات الأئمة
",000,False,000,False,False,False,1,1834
"### | AUTO الخروج والدعوة
",000,False,000,False,False,False,1,148
"### | AUTO إمامة المفضول مع وجود الأفضل
",000,False,000,False,False,False,1,143
"### | AUTO سلبيات تجربة الإمامة
",000,False,000,False,False,False,1,210
"### | AUTO مفهوم الفرقة الناجية
",000,False,000,False,False,False,1,117
"### | AUTO مصادر الزيدية
",000,False,000,False,False,False,1,589
"### | AUTO ملاحظة حول المصادر الحديثية
",000,False,000,False,False,False,1,156
"### | AUTO الزيدية اليوم
",000,False,000,False,False,False,1,242
"### | AUTO لمحة عن الجذور التاريخية للزيدية
",000,False,000,False,False,False,1,1350
"### | AUTO أهم المصادر والمراجع
",000,False,000,False,False,False,1,676
