string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO رؤية الله تعالى بين العقل والنقل
",000,False,000,False,False,False,1,30120
"### || AUTO الإهداء
",000,False,000,False,False,False,2,40
"### || AUTO مقدمة
",000,False,000,False,False,False,2,720
"### || AUTO القسم الأول
",000,False,000,False,False,False,2,4333
"### ||| AUTO عرض سريع للعقل وأهميته
",000,False,000,False,False,False,3,777
"### ||| AUTO المحكم والمتشابه في القرآن الكريم
",000,False,000,False,False,False,3,1851
"### ||| AUTO مدلول الرؤية لغة:
",000,False,000,False,False,False,3,213
"### ||| AUTO توضيح الخلاف
",000,False,000,False,False,False,3,737
"### ||| AUTO اضطراب أقوال المثبتين للرؤية في الآخرة
",000,False,000,False,False,False,3,303
"### || AUTO القسم الثاني
",000,False,000,False,False,False,2,11192
