string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [
",000,False,000,False,False,False,1,0
"### | أبو هريرة راوية الإسلام
",000,False,000,False,False,False,1,53
"### | مقدمة الطبعة الثالثة:
",000,False,000,False,False,False,1,268
"### | مقدمة الطبعة الأولى:
",000,False,000,False,False,False,1,764
"### | تمهيد:
",000,False,000,False,False,False,1,2
"### | - العرب ورسالة الإسلام.
",000,False,000,False,False,False,1,17
"### | العرب ورسالة الإسلام:
",000,False,000,False,False,False,1,1257
"### | حول السنة:
",000,year,000,False,False,False,1,879
"### | السنة ومكانتها من القرآن الكريم:
",000,year,000,False,False,False,1,1537
"### | عدالة الصحابة:
",000,False,000,False,False,False,1,1057
"### | حفظ السنة وانتشارها:
",000,year,000,False,False,False,1,5970
"### | الباب الأول: أبو هريرة ms042:
",000,False,000,False,False,False,1,8
"### | الفصل الأول: حياته العامة
",000,False,000,False,False,False,1,10
"### | الفصل الأول: حياته العامة:
",000,False,000,False,False,False,1,8
"### | - نسبه والتعريف به.
",000,False,000,False,False,False,1,77
"### | - نسبه والتعريف به:
",000,False,000,False,False,False,1,257
"### | هيئته وأوصافه الجسمية:
",000,False,000,False,False,False,1,30
"### | نشأته قبل الإسلام:
",000,False,000,False,False,False,1,74
"### | إسلامه وهجرته:
",000,False,000,False,False,False,1,474
"### | إسلام أمه:
",000,False,000,False,False,False,1,229
"### | ملازمته رسول الله - صلى الله عليه وسلم -:
",000,False,000,False,False,False,1,311
"### | التزام أبي هريرة السنة:
",000,year,000,False,False,False,1,1329
"### | فقره وعفافه:
",000,False,000,False,False,False,1,836
"### | كرم أبي هريرة:
",000,False,000,False,False,False,1,339
"### | ولايته في عهد عمر - رضي الله عنه -:
",000,False,000,False,False,False,1,266
"### | أبو هريرة وفتنة عثمان:
",000,False,000,False,False,False,1,218
"### | أبو هريرة في عهد علي ms058 - رضي الله عنه -:
",000,False,000,False,False,False,1,551
"### | أبو هريرة أمير المدينة:
",000,False,000,False,False,False,1,239
"### | أبو هريرة والجهاد في سبيل الله:
",000,False,000,False,False,False,1,572
"### | مرح أبي هريرة ومزاحه:
",000,False,000,False,False,False,1,713
"### | مرض أبي هريرة:
",000,False,000,False,False,False,1,257
"### | وفاته:
",000,False,000,False,False,False,1,297
"### | أسرته:
",000,False,000,False,False,False,1,178
"### | الفصل الثاني: حياته العلمية:
",000,False,000,False,False,False,1,6
"### | بين يدي الفصل:
",000,False,000,False,False,False,1,87
"### | - حرصه على الحديث، 
",000,False,000,False,False,False,1,161
"### | حرصه على الحديث:
",000,False,000,False,False,False,1,760
"### | أمله علم لا ينسى:
",000,False,000,False,False,False,1,99
"### | مجالسه ونشره الحديث:
",000,False,000,False,False,False,1,1464
"### | كثرة حديثه وسعة علمه:
",000,False,000,False,False,False,1,1616
"### | حفظ أبي هريرة:
",000,False,000,False,False,False,1,533
"### | حضه على صيانة الحديث من الكذب:
",000,False,000,False,False,False,1,96
"### | أبو هريرة والقرآن الكريم:
",000,False,000,False,False,False,1,162
"### | أبو هريرة والفتوى:
",000,False,000,False,False,False,1,850
"### | أبو هريرة والقضاء:
",000,False,000,False,False,False,1,163
"### | شيوخه ومن روى عنه:
",000,False,000,False,False,False,1,45
"### | الصحابة الذين رووا عنه:
",000,False,000,False,False,False,1,30
"### | التابعون الذين رووا عنه:
",000,False,000,False,False,False,1,559
"### | عدة ما روي عنه من الحديث:
",000,False,000,False,False,False,1,380
"### | نماذج من مروياته:
",000,False,000,False,False,False,1,2001
"### | أصح الطرق عن أبي هريرة:
",000,False,000,False,False,False,1,175
"### | الثناء على أبي هريرة:
",000,False,000,False,False,False,1,928
"### | الباب الثاني: الرد على الشبه التي أثيرت حول أبي هريرة:
",000,False,000,False,False,False,1,20
"### | - أبو هريرة وبعض الباحثين.
",000,False,000,False,False,False,1,11
"### | أبو هريرة وبعض الباحثين:
",000,False,000,False,False,False,1,390
"### | مقدمة كتاب "" أبو هريرة "":
",000,False,000,False,False,False,1,5382
"### | أولا - هل تشيع أبو هريرة للأمويين؟:
",000,False,000,False,False,False,1,877
"### | ثانيا: هل وضع أبو هريرة الأحاديث كذبا على رسول الله؟:
",000,False,000,False,False,False,1,5848
"### | موقف الصحابة من أبي هريرة:
",000,False,000,False,False,False,1,393
"### | [أ] أبو هريرة وعمر بن الخطاب:
",000,False,000,False,False,False,1,843
"### | [ب] أبو هريرة وعثمان بن عفان:
",000,False,000,False,False,False,1,201
"### | [ج] أبو هريرة وعلي بن أبي طالب - رضي الله عنهما -:
",000,False,000,False,False,False,1,573
"### | [د] أبو هريرة ms156 وعائشة:
",000,False,000,False,False,False,1,1821
"### | [ه] أبو هريرة وعبد الله بن عمر:
",000,False,000,False,False,False,1,795
"### | [و] أبو هريرة وابن عباس:
",000,False,000,False,False,False,1,135
"### | [ز] أبو هريرة والزبير:
",000,False,000,False,False,False,1,212
"### | [ح] أبو هريرة ومروان بن الحكم:
",000,False,000,False,False,False,1,3041
"### | هل كان أبو هريرة تلميذا لكعب الأحبار؟: 
",000,False,000,False,False,False,1,2561
"### | خاتمة:
",000,False,000,False,False,False,1,1242
"### | أهم المصادر والمراجع:
",000,False,000,False,False,False,1,6
"### | 1 - 
",000,False,000,False,False,False,1,5
"### | 2 - 
",000,False,000,False,False,False,1,17
"### | 3 - 
",000,False,000,False,False,False,1,21
"### | 4 - 
",000,False,000,False,False,False,1,25
"### | 5 - 
",000,False,000,False,False,False,1,22
"### | 6 - 
",000,False,000,False,False,False,1,24
"### | 7 - 
",000,False,000,False,False,False,1,23
"### | 8 - 
",000,False,000,False,False,False,1,20
"### | 9 - 
",000,False,000,False,False,False,1,24
"### | 10 - 
",000,False,000,False,False,False,1,23
"### | 11 - 
",000,False,000,False,False,False,1,15
"### | 12 - 
",000,False,000,False,False,False,1,18
"### | 13 - 
",000,False,000,False,False,False,1,30
"### | 14 - 
",000,False,000,False,False,False,1,21
"### | 15 - 
",000,False,000,False,False,False,1,15
"### | 16 - 
",000,False,000,False,False,False,1,31
"### | 17 - 
",000,False,000,False,False,False,1,19
"### | 18 - 
",000,False,000,False,False,False,1,21
"### | 19 - 
",000,False,000,False,False,False,1,21
"### | 20 - 
",000,False,000,False,False,False,1,22
"### | 21 - 
",000,False,000,False,False,False,1,21
"### | 22 - 
",000,False,000,False,False,False,1,17
"### | 23 - 
",000,False,000,False,False,False,1,16
"### | 24 - 
",000,False,000,False,False,False,1,16
"### | 25 - 
",000,False,000,False,False,False,1,25
"### | 26 - 
",000,False,000,False,False,False,1,23
"### | 27 - 
",000,False,000,False,False,False,1,22
"### | 28 - 
",000,False,000,False,False,False,1,26
"### | 30 - 
",000,False,000,False,False,False,1,20
"### | 31 - 
",000,False,000,False,False,False,1,24
"### | 32 - 
",000,False,000,False,False,False,1,26
"### | 33 - 
",000,False,000,False,False,False,1,17
"### | 34 - 
",000,False,000,False,False,False,1,14
"### | 35 - 
",000,False,000,False,False,False,1,11
